signal,category,official_formula_url,official_formula_sha256,required_inputs,source_used,source_url,license_terms,minimum_history,data_acquired,current_value_calculated,current_value_count,effective_date,available_at,coverage,fidelity,tests_executed,github_run,source_evidence_run,artifact,status,remaining_blocker,strict_score_eligible
BMdec,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/BMdec.py,111bb8df1db87d92fb55ec4c070dc157281655afe80d9f54796ee4572f533d06,book_equity|december_market_equity,,,,formula-specific annual lookback; see pinned OpenAP source,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_fidelity,unapproved_current_source:sec_edgar|yahoo_public,False
BPEBM,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/ZZ1_EBM_BPEBM.py,2fc3537cf2b935b4ec1204dc7966c0fe475683a7a47a9df74b5837b80dddf9c6,book_equity|preferred_stock|deferred_charges|market_equity,,,,formula-specific annual lookback; see pinned OpenAP source,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
Beta,Price,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/Beta.py,6929bf9f18bf8b0a36a6b79bca80cdb1b485c461ad574ef103eda4736c8a1be3,,,,,not_yet_frozen,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
BetaFP,Price,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/ZZ2_BetaFP.py,8aa7d340f706d19a73331b1fddbf5e06e59e141e85bf89056e049870421e2241,,,,,not_yet_frozen,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
BetaLiquidityPS,Price,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/BetaLiquidityPS.py,dfdae867eeab94286f89be9ee39d36ad9523cd992d2c755170430db2d29750f4,monthly_returns|risk_free|fama_french_factors|pastor_stambaugh_innovation,,,,formula-specific monthly lookback; see pinned OpenAP source,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_fidelity,unapproved_current_source:kenneth_french|pastor_stambaugh|yahoo_public,False
BetaTailRisk,Price,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/BetaTailRisk.py,05a6814113c1e2d7e7513c5831fe73fa9e891c441ab549cbbbd61e418b6c959b,monthly_returns|market_tail_factor,,,,formula-specific monthly lookback; see pinned OpenAP source,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_fidelity,unapproved_current_source:yahoo_public,False
BidAskSpread,Trading,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/BidAskSpread.py,ec53918eccd8117256dfc55acdaac97b784a9b47a396809a7db04def88490039,,,,,not_yet_frozen,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
BookLeverage,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/BookLeverage.py,af34ed6680a162075ec28554f8ddc485eef35ffbc06783b09431fdfbb01c9298,,,,,not_yet_frozen,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
BrandInvest,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/BrandInvest.py,63cc0edf8e8abd5c447e230e2272038e4b0d0eb5b6d25068835902dcfae8e88e,advertising_expense|accumulated_brand_capital,sec_edgar,https://www.sec.gov/files/company_tickers_exchange.json,SEC public data; automated access subject to SEC fair-access policy,formula-specific annual lookback; see pinned OpenAP source,True,True,494,2025-12-31T00:00:00+00:00,2026-05-11T20:12:33+00:00,0.21129170230966637,reconstructed,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,current_signal_computed,strict_validation_and_fidelity_gates_pending,False
CBOperProf,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/CBOperProf.py,a29fa3480d82888146ab3b740a80b2196e07393d36cb9b3121dcdbe62102a96d,revenue|cogs|sga|interest_expense|book_equity|sic,sec_edgar,https://www.sec.gov/files/company_tickers_exchange.json,SEC public data; automated access subject to SEC fair-access policy,formula-specific annual lookback; see pinned OpenAP source,True,True,450,2026-07-03T00:00:00+00:00,2026-07-31T01:22:20+00:00,0.1924721984602224,unvalidated_proxy,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,current_signal_computed,strict_validation_and_fidelity_gates_pending,False
CF,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/CF.py,09532e1ce762f64f4b225c5f4bd00b48ae40de55003da0295b1ae617585f1296,,,,,not_yet_frozen,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
Cash,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/Cash.py,7e9f046dd3ebe3581b57ede655a9f1ba68340dcbf53167ed6fe0030e746ecab2,,,,,not_yet_frozen,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
CashProd,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/CashProd.py,2541484ba36d9869221987b2a5ec015f3dd9aa5ce4406f8a0ffea56173ce1983,,,,,not_yet_frozen,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
ChAssetTurnover,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/ChAssetTurnover.py,f584e17a303ce790c6515eff040535a3fd86201129e415e504bce36c499bb651,,,,,not_yet_frozen,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
ChInvIA,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/ChInvIA.py,09d5b9ae1836066d80de96b77352632246eafe30bbefb59fdf2c635291d90388,capex_history|sic_history,,,,formula-specific annual lookback; see pinned OpenAP source,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_fidelity,unapproved_current_source:sec_edgar|yahoo_public,False
ChNNCOA,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/ChNNCOA.py,a7051153f0a6297a50a26219089af19f4312bfb5a204fdde34d08fd7d990fd1e,noncurrent_operating_assets|noncurrent_operating_liabilities,sec_edgar,https://www.sec.gov/files/company_tickers_exchange.json,SEC public data; automated access subject to SEC fair-access policy,formula-specific annual lookback; see pinned OpenAP source,True,True,9,2025-12-31T00:00:00+00:00,2026-03-30T21:34:47+00:00,0.003849443969204448,reconstructed,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,current_signal_computed,strict_validation_and_fidelity_gates_pending,False
ChTax,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/ChTax.py,04a5a239bed7f24ca9b0503b033eb0a7c579202da5f4144af2bfd718afc3ebda,,,,,not_yet_frozen,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
CitationsRD,Other,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/CitationsRD.py,5bb1160828898b763362fbee42785fc88257a5c84bf26132df58f472b45de9cf,five_year_subcategory_scaled_patent_citations|rd_expense|gvkey_permno_identity,,,,formula-specific annual lookback; see pinned OpenAP source,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
CompEquIss,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/CompEquIss.py,d87a14114fbd43039f32c71bec6c42d017fedaf0130f8f1d58cc227f899b808b,market_equity_history|stock_return_history,,,,formula-specific annual lookback; see pinned OpenAP source,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_fidelity,unapproved_current_source:sec_edgar|yahoo_public,False
CompositeDebtIssuance,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/CompositeDebtIssuance.py,0ed0dacaca27d2d67a98f1793a6827702a7e73b631491a1195008ba012f68665,,,,,not_yet_frozen,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
ConvDebt,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/ConvDebt.py,71b49dbf704bfc00260084f27442eec35fe26f82200c0c32d767a0ef34a2bcab,convertible_debt,,,,formula-specific annual lookback; see pinned OpenAP source,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
CoskewACX,Price,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/CoskewACX.py,81cff4979e62361a896a5b61b61a9778b7abf67c14a51bb2ef3bfebc7b273998,daily_stock_returns|value_weighted_market_returns,,,,formula-specific monthly lookback; see pinned OpenAP source,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_fidelity,unapproved_current_source:kenneth_french|yahoo_public,False
Coskewness,Price,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/Coskewness.py,1deefcb70f9a3fbb9fec2816de5035f159e57790c0f23354e1047465f1082979,monthly_stock_returns|market_excess_returns,,,,formula-specific monthly lookback; see pinned OpenAP source,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_fidelity,unapproved_current_source:kenneth_french|yahoo_public,False
CustomerMomentum,Other,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/CustomerMomentum.py,ea3f920fa3df6d261daf55de57b261083e7f853f7e18930cce8af2d5dc1168ce,customer_supplier_links|customer_returns,,,,formula-specific monthly lookback; see pinned OpenAP source,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
DebtIssuance,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/DebtIssuance.py,be86cb9cf972fd41905e45bbab7505dd99da88c0e888a47604998beb102f0816,,,,,not_yet_frozen,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
DelBreadth,13F,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/DelBreadth.py,4b4c7c45dcbcf5eb564f7d9af222616fdf8d97130e798d1fdfcc41eb5c2a239f,institutional_holdings_history|cusip_ticker_mapping,openfigi|sec_13f,https://www.sec.gov/files/structureddata/data/form-13f-data-sets/01mar2026-31may2026_form13f.zip|https://api.openfigi.com/v3/mapping,OpenFIGI free API terms and rate limits | SEC public filing data; SEC fair-access policy,formula-specific quarterly lookback; see pinned OpenAP source,True,True,1586,2026-03-31T00:00:00+00:00,2026-05-29T00:00:00+00:00,0.6783575705731394,reconstructed,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,current_signal_computed,strict_validation_and_fidelity_gates_pending,False
DelCOA,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/DelCOA.py,b9d0732718ba6879fafcd966913db75cbfdc4295d97f7b077b660e24a60d9d09,,,,,not_yet_frozen,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
DelCOL,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/DelCOL.py,b3b263ac8ac1cd7c01bf54bbb0e9f160205f474ef091ebfa5b798777d817dcce,,,,,not_yet_frozen,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
DelDRC,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/DelDRC.py,b2a07c603cd53e3201db79bc7358209c552babe2e41a1695ae9ab716f0bea808,,,,,not_yet_frozen,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
DelEqu,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/DelEqu.py,a040398b319e60cba5bfa8438f24411e39ed8d06a4166b78fc107ba772e2e720,,,,,not_yet_frozen,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
DelFINL,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/DelFINL.py,96f66ea157938cf8b7583c4b0dcd3bd230e105d28aa8bd455f78fef99d3b4c85,,,,,not_yet_frozen,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
DelLTI,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/DelLTI.py,8955523b4a82e04fe113cbc723e56f8e7f2046c4b06fef9ecf1a96efc3baa422,,,,,not_yet_frozen,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
