source_id,title,authors,publication_year,doi,direct_url,primary_source,verification_status,verification_method,verification_source_url,verified_on,metadata_correction_note,claim_extraction_status
SRC0011,The Significance of Technical Trading-Rule Profits in the Foreign Exchange Market: A Bootstrap Approach,Richard M. Levich; Lee R. Thomas III,1993,10.1016/0261-5606(93)90034-9,https://doi.org/10.1016/0261-5606(93)90034-9,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1016/0261-5606(93)90034-9,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0012,Is Technical Analysis in the Foreign Exchange Market Profitable? A Genetic Programming Approach,Christopher J. Neely; Paul A. Weller; Rob Dittmar,1997,10.2307/2331231,https://doi.org/10.2307/2331231,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.2307/2331231,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0013,"Time-Varying Risk Premia, Volatility, and Technical Trading Rule Profits: Evidence from Foreign Currency Futures Markets",Bong-Chan Kho,1996,10.1016/0304-405X(95)00861-8,https://doi.org/10.1016/0304-405X(95)00861-8,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1016/0304-405X(95)00861-8,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0014,Have Trading Rule Profits in the Currency Markets Declined over Time?,Dennis Olson,2004,10.1016/S0378-4266(02)00399-0,https://doi.org/10.1016/S0378-4266(02)00399-0,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1016/S0378-4266(02)00399-0,2026-08-03,Corrected the ScienceDirect article identifier.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0015,Testing the Predictive Ability of Technical Analysis Using a New Stepwise Test without Data Snooping Bias,Po-Hsuan Hsu; Yu-Chin Hsu; Chung-Ming Kuan,2010,10.1016/j.jempfin.2010.01.001,https://doi.org/10.1016/j.jempfin.2010.01.001,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1016/j.jempfin.2010.01.001,2026-08-03,Corrected the Journal of Empirical Finance DOI.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0016,A Reality Check on Technical Trading Rule Profits in the U.S. Futures Markets,Cheol-Ho Park; Scott H. Irwin,2010,10.1002/fut.20435,https://doi.org/10.1002/fut.20435,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1002/fut.20435,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0017,"Technical Trading Revisited: False Discoveries, Persistence Tests, and Transaction Costs",Pierre Bajgrowicz; Olivier Scaillet,2012,10.1016/j.jfineco.2012.06.001,https://doi.org/10.1016/j.jfineco.2012.06.001,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1016/j.jfineco.2012.06.001,2026-08-03,Corrected the Journal of Financial Economics DOI.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0018,A New Anomaly: The Cross-Sectional Profitability of Technical Analysis,Yufeng Han; Ke Yang; Guofu Zhou,2013,10.1017/S0022109013000586,https://doi.org/10.1017/S0022109013000586,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1017/S0022109013000586,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0019,Forecasting the Equity Risk Premium: The Role of Technical Indicators,Christopher J. Neely; David E. Rapach; Jun Tu; Guofu Zhou,2014,10.1287/mnsc.2013.1838,https://doi.org/10.1287/mnsc.2013.1838,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1287/mnsc.2013.1838,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0020,A Century of Evidence on Trend-Following Investing,Brian Hurst; Yao Hua Ooi; Lasse Heje Pedersen,2017,10.3905/jpm.2017.44.1.015,https://doi.org/10.3905/jpm.2017.44.1.015,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.3905/jpm.2017.44.1.015,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0021,Trend-Following Trading Strategies in Commodity Futures: A Re-Examination,Andrew C. Szakmary; Qian Shen; Subhash C. Sharma,2010,10.1016/j.jbankfin.2009.08.004,https://doi.org/10.1016/j.jbankfin.2009.08.004,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1016/j.jbankfin.2009.08.004,2026-08-03,Corrected the Journal of Banking & Finance DOI.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0022,Momentum Strategies in Commodity Futures Markets,Joëlle Miffre; Georgios Rallis,2007,10.1016/j.jbankfin.2006.12.005,https://doi.org/10.1016/j.jbankfin.2006.12.005,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1016/j.jbankfin.2006.12.005,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0023,Time Series Momentum,Tobias J. Moskowitz; Yao Hua Ooi; Lasse Heje Pedersen,2012,10.1016/j.jfineco.2011.11.003,https://doi.org/10.1016/j.jfineco.2011.11.003,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1016/j.jfineco.2011.11.003,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0024,Cross-Sectional and Time-Series Tests of Return Predictability: What Is the Difference?,Amit Goyal; Narasimhan Jegadeesh,2018,10.1093/rfs/hhx131,https://doi.org/10.1093/rfs/hhx131,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1093/rfs/hhx131,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0025,Time Series Momentum in Nearly 100 Years of Stock Returns,Bryan Y. Lim; Jiaguo Wang; Yaqiong Yao,2018,10.1016/j.jbankfin.2018.10.010,https://doi.org/10.1016/j.jbankfin.2018.10.010,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1016/j.jbankfin.2018.10.010,2026-08-03,Corrected the authors to the exact article record.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0026,Time Series Momentum and Volatility Scaling,Abby Y. Kim; Yiuman Tse; John K. Wald,2016,10.1016/j.finmar.2016.05.003,https://doi.org/10.1016/j.finmar.2016.05.003,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1016/j.finmar.2016.05.003,2026-08-03,"Corrected authors, journal and DOI identity.",bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0027,Returns to Buying Winners and Selling Losers: Implications for Stock Market Efficiency,Narasimhan Jegadeesh; Sheridan Titman,1993,10.1111/j.1540-6261.1993.tb04702.x,https://doi.org/10.1111/j.1540-6261.1993.tb04702.x,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1111/j.1540-6261.1993.tb04702.x,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0028,Profitability of Momentum Strategies: An Evaluation of Alternative Explanations,Narasimhan Jegadeesh; Sheridan Titman,2001,10.1111/0022-1082.00342,https://doi.org/10.1111/0022-1082.00342,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1111/0022-1082.00342,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0029,International Momentum Strategies,K. Geert Rouwenhorst,1998,10.1111/0022-1082.00022,https://doi.org/10.1111/0022-1082.00022,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1111/0022-1082.00022,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0030,Do Industries Explain Momentum?,Tobias J. Moskowitz; Mark Grinblatt,1999,10.1111/0022-1082.00146,https://doi.org/10.1111/0022-1082.00146,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1111/0022-1082.00146,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0031,The Interaction of Value and Momentum Strategies,Clifford S. Asness,1997,10.2469/faj.v53.n2.2069,https://doi.org/10.2469/faj.v53.n2.2069,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.2469/faj.v53.n2.2069,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0032,Value and Momentum Everywhere,Clifford S. Asness; Tobias J. Moskowitz; Lasse Heje Pedersen,2013,10.1111/jofi.12021,https://doi.org/10.1111/jofi.12021,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1111/jofi.12021,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0033,Momentum Crashes,Kent Daniel; Tobias J. Moskowitz,2016,10.1016/j.jfineco.2015.12.002,https://doi.org/10.1016/j.jfineco.2015.12.002,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1016/j.jfineco.2015.12.002,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0034,Momentum Has Its Moments,Pedro Barroso; Pedro Santa-Clara,2015,10.1016/j.jfineco.2014.11.010,https://doi.org/10.1016/j.jfineco.2014.11.010,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1016/j.jfineco.2014.11.010,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0035,"Momentum Trading, Return Chasing, and Predictable Crashes",Benjamin Chabot; Eric Ghysels; Ravi Jagannathan,2014,,https://www.nber.org/papers/w20660,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://www.nber.org/papers/w20660,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0036,Tail Risk in Momentum Strategy Returns,Kent Daniel; Ravi Jagannathan; Soohun Kim,2012,,https://www.nber.org/papers/w18169,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://www.nber.org/papers/w18169,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0037,Does the Stock Market Overreact?,Werner F. M. De Bondt; Richard Thaler,1985,10.1111/j.1540-6261.1985.tb05004.x,https://doi.org/10.1111/j.1540-6261.1985.tb05004.x,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1111/j.1540-6261.1985.tb05004.x,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0038,Further Evidence on Investor Overreaction and Stock Market Seasonality,Werner F. M. De Bondt; Richard H. Thaler,1987,10.1111/j.1540-6261.1987.tb04569.x,https://doi.org/10.1111/j.1540-6261.1987.tb04569.x,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1111/j.1540-6261.1987.tb04569.x,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0039,Mean Reversion in Stock Prices: Evidence and Implications,James M. Poterba; Lawrence H. Summers,1988,10.1016/0304-405X(88)90021-9,https://doi.org/10.1016/0304-405X(88)90021-9,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1016/0304-405X(88)90021-9,2026-08-03,Corrected the terminal DOI digit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0040,Permanent and Temporary Components of Stock Prices,Eugene F. Fama; Kenneth R. French,1988,10.1086/261535,https://doi.org/10.1086/261535,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1086/261535,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0041,Stock Market Prices Do Not Follow Random Walks: Evidence from a Simple Specification Test,Andrew W. Lo; A. Craig MacKinlay,1988,10.1093/rfs/1.1.41,https://doi.org/10.1093/rfs/1.1.41,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1093/rfs/1.1.41,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0042,Evidence of Predictable Behavior of Security Returns,Narasimhan Jegadeesh,1990,10.1111/j.1540-6261.1990.tb05110.x,https://doi.org/10.1111/j.1540-6261.1990.tb05110.x,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1111/j.1540-6261.1990.tb05110.x,2026-08-03,Corrected the Journal of Finance DOI.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0043,"Fads, Martingales, and Market Efficiency",Bruce N. Lehmann,1990,10.2307/2937816,https://doi.org/10.2307/2937816,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.2307/2937816,2026-08-03,Corrected the JSTOR identifier.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0044,Volume and Autocovariances in Short-Horizon Individual Security Returns,Jennifer Conrad; Allaudeen Hameed; Cathy Niden,1994,10.1111/j.1540-6261.1994.tb02455.x,https://doi.org/10.1111/j.1540-6261.1994.tb02455.x,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1111/j.1540-6261.1994.tb02455.x,2026-08-03,Corrected the Journal of Finance DOI.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0045,When Are Contrarian Profits Due to Stock Market Overreaction?,Andrew W. Lo; A. Craig MacKinlay,1990,10.1093/rfs/3.2.175,https://doi.org/10.1093/rfs/3.2.175,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1093/rfs/3.2.175,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0046,Liquidity and Autocorrelations in Individual Stock Returns,Doron Avramov; Tarun Chordia; Amit Goyal,2006,10.1111/j.1540-6261.2006.01060.x,https://doi.org/10.1111/j.1540-6261.2006.01060.x,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1111/j.1540-6261.2006.01060.x,2026-08-03,Corrected the Journal of Finance DOI.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0047,Evaporating Liquidity,Stefan Nagel,2012,10.1093/rfs/hhs066,https://doi.org/10.1093/rfs/hhs066,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1093/rfs/hhs066,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0048,Intraday Patterns in the Cross-Section of Stock Returns,Steven L. Heston; Robert A. Korajczyk; Ronnie Sadka,2010,10.1111/j.1540-6261.2010.01573.x,https://doi.org/10.1111/j.1540-6261.2010.01573.x,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1111/j.1540-6261.2010.01573.x,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0049,A Closer Look at the Short-Term Return Reversal,Zhi Da; Qianqiu Liu; Ernst Schaumburg,2014,10.1287/mnsc.2013.1766,https://doi.org/10.1287/mnsc.2013.1766,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1287/mnsc.2013.1766,2026-08-03,Corrected the Management Science DOI.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0050,Trading Volume and Serial Correlation in Stock Returns,John Y. Campbell; Sanford J. Grossman; Jiang Wang,1993,10.2307/2118454,https://doi.org/10.2307/2118454,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.2307/2118454,2026-08-03,Added the exact Quarterly Journal of Economics/JSTOR identifier.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0051,Expected Stock Returns and Volatility,Kenneth R. French; G. William Schwert; Robert F. Stambaugh,1987,10.1016/0304-405X(87)90026-2,https://doi.org/10.1016/0304-405X(87)90026-2,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1016/0304-405X(87)90026-2,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0052,Why Does Stock Market Volatility Change Over Time?,G. William Schwert,1989,10.1111/j.1540-6261.1989.tb02647.x,https://doi.org/10.1111/j.1540-6261.1989.tb02647.x,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1111/j.1540-6261.1989.tb02647.x,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0053,No News Is Good News: An Asymmetric Model of Changing Volatility in Stock Returns,John Y. Campbell; Ludger Hentschel,1992,10.1016/0304-405X(92)90037-X,https://doi.org/10.1016/0304-405X(92)90037-X,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1016/0304-405X(92)90037-X,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0054,On the Relation between the Expected Value and the Volatility of the Nominal Excess Return on Stocks,Lawrence R. Glosten; Ravi Jagannathan; David E. Runkle,1993,10.1111/j.1540-6261.1993.tb05128.x,https://doi.org/10.1111/j.1540-6261.1993.tb05128.x,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1111/j.1540-6261.1993.tb05128.x,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0055,Measuring and Testing the Impact of News on Volatility,Robert F. Engle; Victor K. Ng,1993,10.1111/j.1540-6261.1993.tb05127.x,https://doi.org/10.1111/j.1540-6261.1993.tb05127.x,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1111/j.1540-6261.1993.tb05127.x,2026-08-03,Corrected the Journal of Finance DOI.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0056,The Investor Fear Gauge,Robert E. Whaley,2000,10.3905/jpm.2000.319728,https://doi.org/10.3905/jpm.2000.319728,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.3905/jpm.2000.319728,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0057,Understanding the VIX,Robert E. Whaley,2009,10.3905/JPM.2009.35.3.098,https://doi.org/10.3905/JPM.2009.35.3.098,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.3905/JPM.2009.35.3.098,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0058,Predicting Stock Market Volatility: A New Measure,Jeff Fleming; Barbara Ostdiek; Robert E. Whaley,1995,10.1002/fut.3990150303,https://doi.org/10.1002/fut.3990150303,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1002/fut.3990150303,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0059,Relationships Between Implied Volatility Indexes and Stock Index Returns,Philippe Giot,2005,10.3905/jpm.2005.500363,https://doi.org/10.3905/jpm.2005.500363,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.3905/jpm.2005.500363,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0060,Expected Stock Returns and Variance Risk Premia,Tim Bollerslev; George Tauchen; Hao Zhou,2009,10.1093/rfs/hhp008,https://doi.org/10.1093/rfs/hhp008,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1093/rfs/hhp008,2026-08-03,Corrected the Review of Financial Studies DOI.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0061,What's Vol Got to Do with It?,Itamar Drechsler; Amir Yaron,2011,10.1093/rfs/hhq085,https://doi.org/10.1093/rfs/hhq085,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1093/rfs/hhq085,2026-08-03,Corrected the Review of Financial Studies DOI.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0062,"The VIX, the Variance Premium and Stock Market Volatility",Geert Bekaert; Marie Hoerova,2014,10.1016/j.jeconom.2014.05.008,https://doi.org/10.1016/j.jeconom.2014.05.008,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1016/j.jeconom.2014.05.008,2026-08-03,Corrected the Journal of Econometrics DOI.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0063,"Tails, Fears, and Risk Premia",Tim Bollerslev; Viktor Todorov,2011,10.1111/j.1540-6261.2011.01695.x,https://doi.org/10.1111/j.1540-6261.2011.01695.x,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1111/j.1540-6261.2011.01695.x,2026-08-03,Corrected the Journal of Finance DOI.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0064,Tail Risk and Asset Prices,Bryan T. Kelly; Hao Jiang,2014,10.1093/rfs/hhu039,https://doi.org/10.1093/rfs/hhu039,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1093/rfs/hhu039,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0065,Volatility-Managed Portfolios,Alan Moreira; Tyler Muir,2017,10.1111/jofi.12513,https://doi.org/10.1111/jofi.12513,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1111/jofi.12513,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0066,A Simple Approximate Long-Memory Model of Realized Volatility,Fulvio Corsi,2009,10.1093/jjfinec/nbp001,https://doi.org/10.1093/jjfinec/nbp001,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1093/jjfinec/nbp001,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
