dataset_id,provider,official_url,free,license_or_terms,coverage_start,coverage_end,native_frequency,publication_delay,revision_policy,historical_vintages_available,causal_available_at,schema,format,quality,gaps,survivorship_status,corporate_actions,timezone,calendar,download_method,reproducibility,free_fallback,classification,rejection_reason
DS011,Cboe Futures Exchange — historical VIX futures data,https://www.cboe.com/us/futures/market_statistics/historical_data/,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",2004-03-26,current_or_provider_archive,daily settlement,after settlement publication,contract corrections possible,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,medium_after_repair,Official contract files; must build continuous curves without lookahead and preserve roll mapping.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_after_repair,
DS012,Cboe — historical put/call ratios,https://www.cboe.com/us/options/market_statistics/historical_data/,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",2006-11-01,current_or_provider_archive,daily,after market statistics final,may be corrected,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,medium_after_repair,Official archived aggregate ratios; availability and category definitions change over time.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_after_repair,
DS013,Cboe — daily options market statistics,https://www.cboe.com/us/options/market_statistics/daily/,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",2006-01-01,current_or_provider_archive,daily,after final daily bulletin,may be corrected,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,medium_after_repair,Official daily totals; archive ingestion and publication timestamp require repair.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_after_repair,
DS014,CFTC — historical compressed legacy COT,https://www.cftc.gov/MarketReports/CommitmentsofTraders/HistoricalCompressed/index.htm,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1986-01-07,current_or_provider_archive,weekly,Friday release for Tuesday positions,official corrections possible,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,"Use release date, not Tuesday observation date, for causal availability.",not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS015,CFTC — Traders in Financial Futures historical data,https://www.cftc.gov/MarketReports/CommitmentsofTraders/HistoricalCompressed/index.htm,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",2009-06-16,current_or_provider_archive,weekly,Friday release,official corrections possible,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Financial-futures positioning with explicit release lag.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS016,Federal Reserve / FRED — 10-Year Treasury Constant Maturity Rate,https://fred.stlouisfed.org/series/DGS10,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1962-01-02,current_or_provider_archive,daily business day,published same/next business day,occasional corrections,yes_via_ALFRED,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Daily yield; use release metadata/as-of rule.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS017,Federal Reserve / FRED — 2-Year Treasury Constant Maturity Rate,https://fred.stlouisfed.org/series/DGS2,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1976-06-01,current_or_provider_archive,daily business day,published same/next business day,occasional corrections,yes_via_ALFRED,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Daily yield.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS018,Federal Reserve / FRED — 3-Month Treasury Constant Maturity Rate,https://fred.stlouisfed.org/series/DGS3MO,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1981-09-01,current_or_provider_archive,daily business day,published same/next business day,occasional corrections,yes_via_ALFRED,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Daily yield.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS019,FRED — 10-Year minus 2-Year Treasury spread,https://fred.stlouisfed.org/series/T10Y2Y,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1976-06-01,current_or_provider_archive,daily,after component publication,derived/revised with components,yes_via_ALFRED,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Prefer deriving from source yields to control timestamps.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS020,FRED — 10-Year minus 3-Month Treasury spread,https://fred.stlouisfed.org/series/T10Y3M,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1982-01-04,current_or_provider_archive,daily,after component publication,derived/revised with components,yes_via_ALFRED,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Prefer deriving from source yields.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS021,Federal Reserve / FRED — Effective Federal Funds Rate,https://fred.stlouisfed.org/series/DFF,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1954-07-01,current_or_provider_archive,daily,next business day,occasional corrections,yes_via_ALFRED,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Policy-rate state with release lag.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS022,FRED — Moody Baa minus 10-Year Treasury spread,https://fred.stlouisfed.org/series/BAA10YM,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1986-01-01,current_or_provider_archive,monthly,after month end,components may revise,yes_via_ALFRED,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Slow credit-spread proxy.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS023,ICE BofA US Corporate Index OAS via FRED,https://fred.stlouisfed.org/series/BAMLC0A0CM,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1996-12-31,current_or_provider_archive,daily,after close/provider release,provider may revise,limited,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Daily investment-grade OAS; terms prohibit redistributing raw data in package.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS024,ICE BofA US High Yield Index OAS via FRED,https://fred.stlouisfed.org/series/BAMLH0A0HYM2,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1996-12-31,current_or_provider_archive,daily,after close/provider release,provider may revise,limited,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Daily high-yield OAS.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS025,Chicago Fed — National Financial Conditions Index,https://www.chicagofed.org/research/data/nfci/current-data,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1971-01-08,current_or_provider_archive,weekly,Wednesday release,full history can revise,no_complete_vintages,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,medium_after_repair,Must either archive releases or test latest-vintage sensitivity; not point-in-time perfect.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_after_repair,
DS026,Chicago Fed — Adjusted National Financial Conditions Index,https://www.chicagofed.org/research/data/nfci/current-data,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1971-01-08,current_or_provider_archive,weekly,Wednesday release,full history can revise,no_complete_vintages,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,medium_after_repair,Same revision caveat as NFCI.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_after_repair,
DS027,St. Louis Fed Financial Stress Index,https://fred.stlouisfed.org/series/STLFSI4,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1993-12-31,current_or_provider_archive,weekly,weekly release,methodology/history can revise,partial,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,medium_after_repair,Use archived vintages where possible and sensitivity analysis.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_after_repair,
DS028,Office of Financial Research — Financial Stress Index,https://www.financialresearch.gov/financial-stress-index/,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",2000-01-03,current_or_provider_archive,daily,following business day,methodology updates documented,download archives,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Official daily stress index; preserve vintage/method version.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS029,Federal Reserve Bank of St. Louis — ALFRED,https://alfred.stlouisfed.org/,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",varies,current_or_provider_archive,vintage/release based,series-specific,retains revisions,yes,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Core point-in-time macro source.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS030,Philadelphia Fed — Real-Time Data Set for Macroeconomists,https://www.philadelphiafed.org/surveys-and-data/real-time-data-research/real-time-data-set-for-macroeconomists,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1947-01-01,current_or_provider_archive,monthly/quarterly vintages,release-specific,explicit vintages,yes,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Official vintage macro panel.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
