signature_hash,distinct_strategy_signature,rows,exact_rows,template_rows,primary_family,asset_bucket,signal_bucket,action_bucket,frequency_bucket,parameter_bucket,example_study_id,example_idea_id,example_title
a969282278a20d5c,volatility_timing|crypto|volatility_signal|hedge_safe_haven|daily|no_explicit_lookback,20,18,2,volatility_timing,crypto,volatility_signal,hedge_safe_haven,daily,no_explicit_lookback,W4387210806,lit_w4387210806_volatility_timing,"Volatility spillovers, structural breaks and uncertainty in technology sector markets"
9e02a93448746908,volatility_timing|crypto|volatility_signal|forecast_rank_template|daily|no_explicit_lookback,19,17,2,volatility_timing,crypto,volatility_signal,forecast_rank_template,daily,no_explicit_lookback,W7162578090,lit_w7162578090_volatility_timing,Modelling asymmetric and long memory volatility in green innovation stocks: fiegarch analysis of S&amp;P BSE Greenex
147777b6c5e34817,market_timing|fx|carry_yield|forecast_rank_template|daily|20y|20y,18,18,0,market_timing,fx,carry_yield,forecast_rank_template,daily,20y|20y,W4405279850,lit_w4405279850_market_timing,THE INFLUENCE OF THE ADF ON EMERGING TRENDS IN THE GLOBAL ARMS MARKET
511b6a04df17315e,inflation|equity_index|macro_inflation|forecast_rank_template|quarterly|no_explicit_lookback,16,16,0,inflation,equity_index,macro_inflation,forecast_rank_template,quarterly,no_explicit_lookback,W2917318128,lit_w2917318128_inflation,Financial development and economic growth: panel evidence from BRICS
1cb09c352ae7ccdf,market_timing|equity_index|momentum_trend|forecast_rank_template|daily|no_explicit_lookback,16,14,2,market_timing,equity_index,momentum_trend,forecast_rank_template,daily,no_explicit_lookback,W7131283851,lit_w7131283851_market_timing,Assessing the Reliability of Japanese Candlestick Patterns Across Market Regimes
9771ab5b67e3e2a6,sector_rotation|bonds_rates|value_quality_factor|forecast_rank_template|annual|no_explicit_lookback,16,0,16,sector_rotation,bonds_rates,value_quality_factor,forecast_rank_template,annual,no_explicit_lookback,W4214546366,lit_w4214546366_sector_rotation,The role of data analytics within operational risk management: A systematic review from the financial services and energy sectors
f8e0eb649ee19e93,volatility_timing|bonds_rates|volatility_signal|forecast_rank_template|unspecified|no_explicit_lookback,16,0,16,volatility_timing,bonds_rates,volatility_signal,forecast_rank_template,unspecified,no_explicit_lookback,W2977209570,lit_w2977209570_volatility_timing,Representation of exchange option prices under stochastic volatility jump-diffusion dynamics
53e68ccb9d7d3d0b,sector_rotation|bonds_rates|value_quality_factor|forecast_rank_template|quarterly|no_explicit_lookback,15,15,0,sector_rotation,bonds_rates,value_quality_factor,forecast_rank_template,quarterly,no_explicit_lookback,W2157432299,lit_w2157432299_sector_rotation,Do Organizational and Spatial Proximity Impact on Firm Performance?
3d07ff95856df4b3,sector_rotation|bonds_rates|value_quality_factor|forecast_rank_template|unspecified|no_explicit_lookback,15,0,15,sector_rotation,bonds_rates,value_quality_factor,forecast_rank_template,unspecified,no_explicit_lookback,W7154285699,lit_w7154285699_sector_rotation,The impact of costs on the financial sustainability and efficiency of forestry enterprises
f879b64b92968c9b,volatility_timing|equity_index|volatility_signal|rotation_allocation|daily|no_explicit_lookback,15,13,2,volatility_timing,equity_index,volatility_signal,rotation_allocation,daily,no_explicit_lookback,W4415757683,lit_w4415757683_volatility_timing,ESG Factors in Financial Investment: Analysis and Application to Portfolio Optimization
48f0e6176a22a19e,credit_spreads|bonds_rates|value_quality_factor|forecast_rank_template|quarterly|no_explicit_lookback,14,14,0,credit_spreads,bonds_rates,value_quality_factor,forecast_rank_template,quarterly,no_explicit_lookback,W7161642982,lit_w7161642982_credit_spreads,Protection of intellectual property rights and commercialization of research and development results
09f6a5bcad393042,machine_learning_asset_pricing|equity_index|ml_forecast|long_short_cross_section|daily|no_explicit_lookback,14,14,0,machine_learning_asset_pricing,equity_index,ml_forecast,long_short_cross_section,daily,no_explicit_lookback,W3097734923,lit_w3097734923_machine_learning_asset_pricing,Machine Learning for Financial Risk Management: A Survey
c6cfb46499359b4e,volatility_timing|equity_index|volatility_signal|long_short_cross_section|intraday|no_explicit_lookback,14,12,2,volatility_timing,equity_index,volatility_signal,long_short_cross_section,intraday,no_explicit_lookback,W4293250844,lit_w4293250844_volatility_timing,Effects of investor sentiment on stock volatility: new evidences from multi-source data in China’s green stock markets
4287a897ac2f2b3d,liquidity|equity_index|liquidity|forecast_rank_template|annual|no_explicit_lookback,13,0,13,liquidity,equity_index,liquidity,forecast_rank_template,annual,no_explicit_lookback,W7132848845,lit_w7132848845_liquidity,THE IMPACT OF ESG FACTORS ON INVESTMENT STRATEGY FORMATION AND SECURITIES TRADING IN THE CONTEXT OF SUSTAINABLE FINANCE FOR UKRAINIAN ENTERPRISES
ad4e3702594714ae,liquidity|equity_index|liquidity|market_timing|daily|no_explicit_lookback,13,13,0,liquidity,equity_index,liquidity,market_timing,daily,no_explicit_lookback,W4366138313,lit_w4366138313_liquidity,"Global Risk, Non-Bank Financial Intermediation, and Emerging Market Vulnerabilities"
779614aad50bc794,rates|equity_index|momentum_trend|long_short_cross_section|intraday|no_explicit_lookback,13,13,0,rates,equity_index,momentum_trend,long_short_cross_section,intraday,no_explicit_lookback,W7154988689,lit_w7154988689_rates,An Adversarial Neural Network Approach with Sentiment Integration for Financial Forecasting
059808c53b6aea98,sector_rotation|equity_single|value_quality_factor|forecast_rank_template|annual|no_explicit_lookback,13,0,13,sector_rotation,equity_single,value_quality_factor,forecast_rank_template,annual,no_explicit_lookback,W7146957268,lit_w7146957268_sector_rotation,The Impact of Firm Performance on Share Price of Listed Consumer Goods in Nigeria
abee07625cfc9b3a,sector_rotation|macro|value_quality_factor|forecast_rank_template|annual|no_explicit_lookback,13,0,13,sector_rotation,macro,value_quality_factor,forecast_rank_template,annual,no_explicit_lookback,W3131956693,lit_w3131956693_sector_rotation,Demand-side solutions to climate change mitigation consistent with high levels of well-being
bd14191c5fd7d3da,volatility_timing|crypto|volatility_signal|long_short_cross_section|daily|no_explicit_lookback,13,13,0,volatility_timing,crypto,volatility_signal,long_short_cross_section,daily,no_explicit_lookback,W4225632085,lit_w4225632085_volatility_timing,A Hybrid Prediction Model Integrating GARCH Models With a Distribution Manipulation Strategy Based on LSTM Networks for Stock Market Volatility
d51540de7fa524a5,liquidity|equity_index|liquidity|forecast_rank_template|quarterly|no_explicit_lookback,12,12,0,liquidity,equity_index,liquidity,forecast_rank_template,quarterly,no_explicit_lookback,W7128285489,lit_w7128285489_liquidity,Stratégies d'émission d'obligations vertes
f2d399b52dd4bd85,market_timing|bonds_rates|value_quality_factor|forecast_rank_template|daily|no_explicit_lookback,12,12,0,market_timing,bonds_rates,value_quality_factor,forecast_rank_template,daily,no_explicit_lookback,W2888107914,lit_w2888107914_market_timing,Gasification for Low-grade Feedstock
95f21573f6fe6437,sector_rotation|equity_index|value_quality_factor|forecast_rank_template|daily|no_explicit_lookback,12,11,1,sector_rotation,equity_index,value_quality_factor,forecast_rank_template,daily,no_explicit_lookback,W2912405394,lit_w2912405394_sector_rotation,Corporate social responsibility reports: topic analysis and big data approach
2f67577092fee730,sector_rotation|macro|value_quality_factor|forecast_rank_template|unspecified|no_explicit_lookback,12,0,12,sector_rotation,macro,value_quality_factor,forecast_rank_template,unspecified,no_explicit_lookback,W2022941060,lit_w2022941060_sector_rotation,"Trade Liberalization, Exit, and Productivity Improvements: Evidence from Chilean Plants"
01d036edc3297209,volatility_timing|crypto|volatility_signal|hedge_safe_haven|intraday|no_explicit_lookback,12,11,1,volatility_timing,crypto,volatility_signal,hedge_safe_haven,intraday,no_explicit_lookback,W7140953815,lit_w7140953815_volatility_timing,CN-Buzz2Portfolio: A Chinese-Market Dataset and Benchmark for LLM-Based Macro and Sector Asset Allocation from Daily Trending Financial News
d02e5140f840c56a,liquidity|equity_index|liquidity|hedge_safe_haven|daily|no_explicit_lookback,11,10,1,liquidity,equity_index,liquidity,hedge_safe_haven,daily,no_explicit_lookback,W3122210266,lit_w3122210266_liquidity,Reaching for Yield in the Bond Market
bf0d9c4bc1b66248,market_timing|macro|value_quality_factor|forecast_rank_template|quarterly|no_explicit_lookback,11,11,0,market_timing,macro,value_quality_factor,forecast_rank_template,quarterly,no_explicit_lookback,W2548687046,lit_w2548687046_market_timing,The Impact of Trade on Intra-Industry Reallocations and Aggregate Industry Productivity
30209cfd856e8466,momentum|equity_index|momentum_trend|long_short_cross_section|monthly|12m|12m,11,11,0,momentum,equity_index,momentum_trend,long_short_cross_section,monthly,12m|12m,W7111115807,lit_w7111115807_momentum,The Application of Dual-Denoised Momentum Factors in Portfolio Management: A Study of ChiNext Stocks for Retail Investors
e0335fa1ac80f49f,rates|equity_index|momentum_trend|forecast_rank_template|daily|no_explicit_lookback,11,10,1,rates,equity_index,momentum_trend,forecast_rank_template,daily,no_explicit_lookback,W7131788517,lit_w7131788517_rates,A comparative study of nse and bse market performance
219e17467647419e,volatility_timing|crypto|volatility_signal|forecast_rank_template|intraday|no_explicit_lookback,11,9,2,volatility_timing,crypto,volatility_signal,forecast_rank_template,intraday,no_explicit_lookback,W7125220232,lit_w7125220232_volatility_timing,Behavioral Finance and Cryptocurrency Investments: Understanding Investor Sentiment and Market Volatility in Developed and Developing Countries
ea28a52642c6f7f9,volatility_timing|crypto|volatility_signal|long_short_cross_section|intraday|no_explicit_lookback,11,11,0,volatility_timing,crypto,volatility_signal,long_short_cross_section,intraday,no_explicit_lookback,W4415374973,lit_w4415374973_volatility_timing,Stochastic Differential Equation Model for Detecting Digital Currency Market Manipulation: A Systematic Review
9930dc93609d5679,gold|equity_index|correlation_spillover|hedge_safe_haven|daily|no_explicit_lookback,10,10,0,gold,equity_index,correlation_spillover,hedge_safe_haven,daily,no_explicit_lookback,W3096078427,lit_w3096078427_gold,The Impact of COVID-19 on Gold Price Volatility
6b201719d2530d88,inflation|fx|macro_inflation|forecast_rank_template|quarterly|no_explicit_lookback,10,10,0,inflation,fx,macro_inflation,forecast_rank_template,quarterly,no_explicit_lookback,W7162250983,lit_w7162250983_inflation,Macroecomic Determinants of Income Inequality: GMM Panel Data Analysis for Türkiye and Emerging Market Economies
75ad82da5ec2be98,liquidity|equity_index|liquidity|forecast_rank_template|intraday|no_explicit_lookback,10,8,2,liquidity,equity_index,liquidity,forecast_rank_template,intraday,no_explicit_lookback,W7157506676,lit_w7157506676_liquidity,When Quotes Crumble: Detecting Transient Mechanical Liquidity Erosion in Limit Order Books
5b5582473c0ecc90,volatility_timing|crypto|volatility_signal|market_timing|daily|no_explicit_lookback,10,10,0,volatility_timing,crypto,volatility_signal,market_timing,daily,no_explicit_lookback,W7134053763,lit_w7134053763_volatility_timing,A Theoretical Model of Price Volatility Transmission between Cryptocurrency Markets and Renewable Energy Stock Indices
95774253d0172945,volatility_timing|equity_index|volatility_signal|forecast_rank_template|unspecified|no_explicit_lookback,10,0,10,volatility_timing,equity_index,volatility_signal,forecast_rank_template,unspecified,no_explicit_lookback,W2043329227,lit_w2043329227_volatility_timing,Bifurcation routes to volatility clustering under evolutionary learning
21816368accd37db,inflation|bonds_rates|macro_inflation|forecast_rank_template|monthly|no_explicit_lookback,9,9,0,inflation,bonds_rates,macro_inflation,forecast_rank_template,monthly,no_explicit_lookback,W4415546861,lit_w4415546861_inflation,"ASYMMETRIC AND STRUCTURAL EFFECTS OF EXCHANGE RATE, INFLATION AND FUNDING COSTS ON CBRT RESERVES"
556432eae1dea75c,inflation|equity_index|macro_inflation|forecast_rank_template|monthly|no_explicit_lookback,9,9,0,inflation,equity_index,macro_inflation,forecast_rank_template,monthly,no_explicit_lookback,W4396508438,lit_w4396508438_inflation,Impact of Macro and Micro Economic Variables on Volatility of Stock Prices: Empirical Evidence from Pakistan's Cement Industry
94fc5201a313f795,liquidity|equity_single|liquidity|forecast_rank_template|annual|no_explicit_lookback,9,0,9,liquidity,equity_single,liquidity,forecast_rank_template,annual,no_explicit_lookback,W4388895579,lit_w4388895579_liquidity,Frontier-market economies as a new group of the financial periphery: patterns and transmission channels of global shocks
a5fb49ae8d7d56a5,machine_learning_asset_pricing|equity_index|ml_forecast|long_short_cross_section|intraday|no_explicit_lookback,9,8,1,machine_learning_asset_pricing,equity_index,ml_forecast,long_short_cross_section,intraday,no_explicit_lookback,W4409144528,lit_w4409144528_machine_learning_asset_pricing,Machine Learning-Based Automated Trading Strategies for the Indian Stock Market
97e9b90ccb2e4858,market_timing|bonds_rates|momentum_trend|forecast_rank_template|unspecified|no_explicit_lookback,9,0,9,market_timing,bonds_rates,momentum_trend,forecast_rank_template,unspecified,no_explicit_lookback,W3107115559,lit_w3107115559_market_timing,Thermal Management of Electrified Propulsion System for Low-Carbon Vehicles
3f2563dd99a34ec4,market_timing|equity_index|value_quality_factor|forecast_rank_template|daily|no_explicit_lookback,9,9,0,market_timing,equity_index,value_quality_factor,forecast_rank_template,daily,no_explicit_lookback,W3013577339,lit_w3013577339_market_timing,Twitter and Research: A Systematic Literature Review Through Text Mining
f48ff3a1c6699fe1,market_timing|equity_single|value_quality_factor|forecast_rank_template|annual|no_explicit_lookback,9,0,9,market_timing,equity_single,value_quality_factor,forecast_rank_template,annual,no_explicit_lookback,W2394703256,lit_w2394703256_market_timing,Influence of Profitability to the Firm Value of Diversified Companies in the Philippines
7bbfbb497d48935b,momentum|equity_index|momentum_trend|forecast_rank_template|daily|no_explicit_lookback,9,9,0,momentum,equity_index,momentum_trend,forecast_rank_template,daily,no_explicit_lookback,W7118388060,lit_w7118388060_momentum,Asymmetric Shock Transmission Between Artificial Intelligence Stocks and Carbon Markets: A Quantile-on-Quantile Connectedness Approach
305d472fc262e584,rates|bonds_rates|value_quality_factor|forecast_rank_template|daily|no_explicit_lookback,9,9,0,rates,bonds_rates,value_quality_factor,forecast_rank_template,daily,no_explicit_lookback,W4417287507,lit_w4417287507_rates,"A Big Data–Driven Optimization Framework for Enterprise Financial Management: Enhancing Predictive Decision-Making, Risk Control, and Computational Efficiency"
536b5b27877a5f38,sector_rotation|equity_index|value_quality_factor|forecast_rank_template|annual|no_explicit_lookback,9,0,9,sector_rotation,equity_index,value_quality_factor,forecast_rank_template,annual,no_explicit_lookback,W3024287278,lit_w3024287278_sector_rotation,"How do financial globalization, institutions and economic growth impact financial sector development in European countries?"
4545abda18090990,sector_rotation|equity_index|value_quality_factor|forecast_rank_template|quarterly|no_explicit_lookback,9,9,0,sector_rotation,equity_index,value_quality_factor,forecast_rank_template,quarterly,no_explicit_lookback,W3124977131,lit_w3124977131_sector_rotation,Banking Systems around the Globe: Do Regulation and Ownership Affect Performance and Stability?
de35389b6a245013,sector_rotation|fx|value_quality_factor|forecast_rank_template|annual|no_explicit_lookback,9,0,9,sector_rotation,fx,value_quality_factor,forecast_rank_template,annual,no_explicit_lookback,W1531188041,lit_w1531188041_sector_rotation,Foreign Direct Investment in Infrastructure in Developing Countries: Does Regulation Make a Difference?
56c0e21d81aa3414,volatility_timing|equity_index|volatility_signal|forecast_rank_template|monthly|no_explicit_lookback,9,9,0,volatility_timing,equity_index,volatility_signal,forecast_rank_template,monthly,no_explicit_lookback,W4413367176,lit_w4413367176_volatility_timing,Global Shocks and Local Fragilities: A Financial Stress Index Approach to Pakistan’s Monetary and Asset Market Dynamics
e653d939fc3d4b1f,credit_spreads|equity_index|value_quality_factor|forecast_rank_template|quarterly|no_explicit_lookback,8,8,0,credit_spreads,equity_index,value_quality_factor,forecast_rank_template,quarterly,no_explicit_lookback,W4307804863,lit_w4307804863_credit_spreads,Detecting fake news and disinformation using artificial intelligence and machine learning to avoid supply chain disruptions
4c7037ac52d1dac7,inflation|equity_index|macro_inflation|forecast_rank_template|daily|no_explicit_lookback,8,7,1,inflation,equity_index,macro_inflation,forecast_rank_template,daily,no_explicit_lookback,W4415651217,lit_w4415651217_inflation,Monetary policy and sectoral stock market in Malaysia
d8d9027bce5a2f3b,liquidity|bonds_rates|liquidity|forecast_rank_template|quarterly|no_explicit_lookback,8,8,0,liquidity,bonds_rates,liquidity,forecast_rank_template,quarterly,no_explicit_lookback,W7131374767,lit_w7131374767_liquidity,FinTech and Risk Governance: New Risks and Challenges in the Digital Economy
0c1c416010d3636a,liquidity|bonds_rates|liquidity|forecast_rank_template|unspecified|no_explicit_lookback,8,0,8,liquidity,bonds_rates,liquidity,forecast_rank_template,unspecified,no_explicit_lookback,W2131007872,lit_w2131007872_liquidity,International Liquidity: The Fiscal Dimension
eafd80cf3b48d2b2,liquidity|crypto|liquidity|hedge_safe_haven|daily|no_explicit_lookback,8,8,0,liquidity,crypto,liquidity,hedge_safe_haven,daily,no_explicit_lookback,W4382985510,lit_w4382985510_liquidity,Asymmetric spillover from Bitcoin to green and traditional assets: A comparison with gold
bd45e61ca1ef87f1,market_timing|bonds_rates|value_quality_factor|forecast_rank_template|intraday|no_explicit_lookback,8,5,3,market_timing,bonds_rates,value_quality_factor,forecast_rank_template,intraday,no_explicit_lookback,W2168849258,lit_w2168849258_market_timing,"Information Asymmetry, Information Precision, and the Cost of Capital"
fd1c48b69ac55271,market_timing|bonds_rates|value_quality_factor|forecast_rank_template|unspecified|no_explicit_lookback,8,0,8,market_timing,bonds_rates,value_quality_factor,forecast_rank_template,unspecified,no_explicit_lookback,W2109078197,lit_w2109078197_market_timing,Comparative quantification of health risks: Conceptual framework and methodological issues
ebc3db3cc4b197ea,market_timing|equity_index|value_quality_factor|forecast_rank_template|quarterly|no_explicit_lookback,8,8,0,market_timing,equity_index,value_quality_factor,forecast_rank_template,quarterly,no_explicit_lookback,W654170155,lit_w654170155_market_timing,Powerful Finance and Innovation Trends in a High-Risk Economy
9d4202b205773836,market_timing|equity_index|volatility_signal|forecast_rank_template|daily|no_explicit_lookback,8,7,1,market_timing,equity_index,volatility_signal,forecast_rank_template,daily,no_explicit_lookback,W2614983056,lit_w2614983056_market_timing,Quantile Co-Movement in Financial Markets: A Panel Quantile Model With Unobserved Heterogeneity
7ccec77004b9facf,momentum|bonds_rates|momentum_trend|forecast_rank_template|unspecified|no_explicit_lookback,8,0,8,momentum,bonds_rates,momentum_trend,forecast_rank_template,unspecified,no_explicit_lookback,W2132343497,lit_w2132343497_momentum,Jet energy measurement and its systematic uncertainty in proton–proton collisions at $$\sqrt{s}=7$$ s = 7  TeV with the ATLAS detector
48a4ed31e38724b0,rates|bonds_rates|value_quality_factor|forecast_rank_template|unspecified|no_explicit_lookback,8,0,8,rates,bonds_rates,value_quality_factor,forecast_rank_template,unspecified,no_explicit_lookback,W2017675229,lit_w2017675229_rates,A Policy Analysis Perspective on Ecological Restoration
ed8509d4bd56558c,rates|equity_index|value_quality_factor|forecast_rank_template|daily|no_explicit_lookback,8,8,0,rates,equity_index,value_quality_factor,forecast_rank_template,daily,no_explicit_lookback,W7153454416,lit_w7153454416_rates,Equity Risk Premium in Hungary's Emerging Market: Evaluating Country Risk and Financial Dynamics
718b16527ca92c26,sector_rotation|commodities|value_quality_factor|forecast_rank_template|annual|no_explicit_lookback,8,0,8,sector_rotation,commodities,value_quality_factor,forecast_rank_template,annual,no_explicit_lookback,W2806835063,lit_w2806835063_sector_rotation,"Sustainability Standards: Interactions Between Private Actors, Civil Society, and Governments"
ae3db7a909ef2312,sector_rotation|fx|value_quality_factor|forecast_rank_template|quarterly|no_explicit_lookback,8,8,0,sector_rotation,fx,value_quality_factor,forecast_rank_template,quarterly,no_explicit_lookback,W4376633190,lit_w4376633190_sector_rotation,Artificial intelligence and firm-level productivity
a6cfc8a9208d998b,vix|equity_index|volatility_signal|forecast_rank_template|daily|no_explicit_lookback,8,8,0,vix,equity_index,volatility_signal,forecast_rank_template,daily,no_explicit_lookback,W3122116451,lit_w3122116451_vix,Using transfer entropy to measure information flows between financial markets
c7300308ff3c4f93,credit_spreads|bonds_rates|value_quality_factor|forecast_rank_template|annual|no_explicit_lookback,7,0,7,credit_spreads,bonds_rates,value_quality_factor,forecast_rank_template,annual,no_explicit_lookback,W7151567996,lit_w7151567996_credit_spreads,The determinants of scale economies in the Ghanaian banking industry
541632a14db9e503,credit_spreads|macro|value_quality_factor|forecast_rank_template|quarterly|no_explicit_lookback,7,7,0,credit_spreads,macro,value_quality_factor,forecast_rank_template,quarterly,no_explicit_lookback,W7160765426,lit_w7160765426_credit_spreads,Beyond Risk and Return: Reconceptualizing Ratings and Blended Finance for Sustainable Development Impact
d9741b64e1e5cce2,inflation|fx|macro_inflation|forecast_rank_template|annual|no_explicit_lookback,7,0,7,inflation,fx,macro_inflation,forecast_rank_template,annual,no_explicit_lookback,W7148146543,lit_w7148146543_inflation,"TRANSPARENCY, ACCOUNTABILITY, AND CORRUPTION RISK ASSESSMENT: CENTRAL BANK OF NIGERIA"
4f894885b9f00ac2,inflation|macro|macro_inflation|forecast_rank_template|annual|no_explicit_lookback,7,0,7,inflation,macro,macro_inflation,forecast_rank_template,annual,no_explicit_lookback,W7162109632,lit_w7162109632_inflation,Economic Growth and Renewable Energy Policies in India: An Econometric Analysis of the Relationship between Energy and Growth (2004–2024)
fd0b42184130be4e,liquidity|crypto|liquidity|forecast_rank_template|daily|no_explicit_lookback,7,7,0,liquidity,crypto,liquidity,forecast_rank_template,daily,no_explicit_lookback,W7136043417,lit_w7136043417_liquidity,"Bitcoin Price Dynamics: The Role of Community Activity, Social Media, and Market Liquidity"
a958a6280d8c79d5,market_timing|bonds_rates|carry_yield|forecast_rank_template|unspecified|no_explicit_lookback,7,0,7,market_timing,bonds_rates,carry_yield,forecast_rank_template,unspecified,no_explicit_lookback,W2019183416,lit_w2019183416_market_timing,In-Memory Big Data Management and Processing: A Survey
128a6d7f616155a1,market_timing|bonds_rates|value_quality_factor|forecast_rank_template|quarterly|no_explicit_lookback,7,7,0,market_timing,bonds_rates,value_quality_factor,forecast_rank_template,quarterly,no_explicit_lookback,W2075629269,lit_w2075629269_market_timing,Assessing the Impact of Organizational Practices on the Productivity of University Technology Transfer Offices: An Exploratory Study
c554bd507d0dcbf8,rates|bonds_rates|value_quality_factor|forecast_rank_template|annual|no_explicit_lookback,7,0,7,rates,bonds_rates,value_quality_factor,forecast_rank_template,annual,no_explicit_lookback,W7148666942,lit_w7148666942_rates,"Exploring the Nexus Between Agriculture Orientation Index, Government Subsidies, and Exchange Rates: New Evidence from Türkiye"
2acb655c2360820d,rates|equity_single|value_quality_factor|forecast_rank_template|annual|no_explicit_lookback,7,0,7,rates,equity_single,value_quality_factor,forecast_rank_template,annual,no_explicit_lookback,W7134072207,lit_w7134072207_rates,Influence of the Nigerian Macro-Economy on the Development of Private Housing in Ilorin
6e81bde3b0d48dce,rates|fx|value_quality_factor|forecast_rank_template|daily|no_explicit_lookback,7,7,0,rates,fx,value_quality_factor,forecast_rank_template,daily,no_explicit_lookback,W7130653981,lit_w7130653981_rates,From Brain Waste To Workforce Capability: An Integrative IMOI Framework For Organizational Credential Recognition In Global Talent Management
9b8cf150da7270f5,sector_rotation|commodities|value_quality_factor|forecast_rank_template|daily|no_explicit_lookback,7,7,0,sector_rotation,commodities,value_quality_factor,forecast_rank_template,daily,no_explicit_lookback,W2103098655,lit_w2103098655_sector_rotation,The Fishery Performance Indicators: A Management Tool for Triple Bottom Line Outcomes
dd9e9a164be21739,sector_rotation|fx|value_quality_factor|forecast_rank_template|unspecified|no_explicit_lookback,7,0,7,sector_rotation,fx,value_quality_factor,forecast_rank_template,unspecified,no_explicit_lookback,W4394930703,lit_w4394930703_sector_rotation,Artificial intelligence enabled product–service innovation: past achievements and future directions
75ce829512bfdca0,sector_rotation|macro|value_quality_factor|forecast_rank_template|daily|no_explicit_lookback,7,7,0,sector_rotation,macro,value_quality_factor,forecast_rank_template,daily,no_explicit_lookback,W4315969330,lit_w4315969330_sector_rotation,"Demand, Services and Social Aspects of Mitigation"
cfdd76e5439f878a,sector_rotation|macro|value_quality_factor|forecast_rank_template|quarterly|no_explicit_lookback,7,7,0,sector_rotation,macro,value_quality_factor,forecast_rank_template,quarterly,no_explicit_lookback,W2151021552,lit_w2151021552_sector_rotation,Government Spending in a Simple Model of Endogenous Growth
57ac4b29223ed895,volatility_timing|equity_index|volatility_signal|forecast_rank_template|daily|10y|10y,7,7,0,volatility_timing,equity_index,volatility_signal,forecast_rank_template,daily,10y|10y,W4389574800,lit_w4389574800_volatility_timing,Modeling Corporate CDS Spreads Using Markov Switching Regressions
