asset_type,identity,owner,purpose,product,status,canonical_replacement,retention_class,last_verified_at,decision,sha_or_id
branch,codex/gtbi-github-only-external-pack-72000,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,cb80c5065c127322a303d58aea0f6c05337a6c9e
branch,codex/gtbi-v7-campaign-27cf8448,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,27cf8448dd0e50ec1869e305aae8eaf016252258
branch,codex/gtbi-v7-campaign-final-20260802,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,05b00b04ebeca2315c3538ee5382c893c30f22ff
branch,codex/gtbi-v7-campaign-final-hashseed-20260802,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,e262264031ce70ee8e50d3f28d4771fb9072670b
branch,codex/gtbi-v7-canonical-successor,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,c80543123e94e6fb670cfdb6fa73549775cfaf30
branch,codex/gtbi-v7-ci-subprocess-timeout,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,1b19c7ee8b8f7fd01d62c2725e26abfd8f8153eb
branch,codex/gtbi-v7-completed-clean,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,active,gtbi_v7_new_reference_v1,active_source,2026-08-03T05:47:25.644301Z,keep,a3d0211c333be84cd78464131357cdb623aa938d
branch,codex/gtbi-v7-finalizer-recovery,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,5af95f6f2a1faaf484675c9b22eba31663a48874
branch,codex/gtbi-v7-finalizer-recovery-final-20260802,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,23dbe2ff82541d3fee1828f320c20903c403f571
branch,codex/gtbi-v7-fingerprint-fix,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,198b41e9600b4950736558deea5a470f6d06bd69
branch,codex/gtbi-v7-g3a-baseline,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,34ea5e5d30f985e6dd39c6a1520d9715f91124a8
branch,codex/gtbi-v7-master-plan-bootstrap,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,a559dbb1fa5de30b3250083d38be2672c702fb48
branch,codex/gtbi-v7-master-plan-completion,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,0cc8506dee833cac59e5f4cd58a32183a1c3cb4c
branch,codex/gtbi-v7-merge-recovery-final-20260802,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,7f4441c3270d46981323fe4e489850c6afc39a6d
branch,codex/gtbi-v7-new-reference,github-user:271768688,source branch,GTBI_V7_CANONICAL_SUCCESSOR_1,inactive_preserved,none,historical_source,2026-08-03T05:47:25.644301Z,archive,4c2a411fb3b48b18deeb52196047ab78e6feeec9
branch,codex/gtbi-v7-provider-transition-reconciliation,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,d00e7c82f004d546ae49e97ca38bca5425da1299
branch,codex/gtbi-v7-readiness-execution,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,0585535666749ee83e7d65edfb9c99b854756b55
branch,codex/gtbi-v7-reproducibility-classification,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,bd92bb83533595081b582320f65c4e83c688d67d
branch,codex/gtbi-v7-retention-policy,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,19417eb9fa412e1a1ebf069a9b1d5074a2c46eb3
branch,codex/gtbi-v7-scope-gates,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,6c46f2669e8dd1e514a042ea4b8cc1a0b1f776b1
branch,codex/gtbi-v7-state-aware-history-tests,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,b3087f3606033e125345382b4ff2849275b741bc
branch,codex/gtbi-v7-successor-reconciliation,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,8dd2d035ff1b663fc069cd8b21d455743c39c358
branch,codex/gtbi-v7-terminal-audit,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,fa9fae3d1fb1ba9b94644a28dec4cbb558a4bb1f
branch,codex/openap-current-main,github-user:271768688,source branch,OPEN_ASSET_PRICING,inactive_preserved,none,historical_source,2026-08-03T05:47:25.644301Z,archive,e9ef78321e4728d07e5293f19ddd6fa44eaa33d7
branch,codex/openap-final-execution-record,github-user:271768688,source branch,OPEN_ASSET_PRICING,inactive_preserved,none,historical_source,2026-08-03T05:47:25.644301Z,archive,f27981e41bee6a38096dba70128ea4b09358285a
branch,codex/openap-full-data-quality-fix,github-user:271768688,source branch,OPEN_ASSET_PRICING,inactive_preserved,none,historical_source,2026-08-03T05:47:25.644301Z,archive,c0d426041d05b3a5ffc7b66a09fc9bd056e451d7
branch,codex/openap-sec-fallback,github-user:271768688,source branch,OPEN_ASSET_PRICING,inactive_preserved,none,historical_source,2026-08-03T05:47:25.644301Z,archive,43f816ae6555455d05c9350a3f43dbce28b2ab85
branch,codex/openap-startup-fix,github-user:271768688,source branch,OPEN_ASSET_PRICING,inactive_preserved,none,historical_source,2026-08-03T05:47:25.644301Z,archive,aeb44245285224965111ba9cd70cacf1a9a76f98
branch,codex/openap-yfinance-sec-current-score,github-user:271768688,source branch,OPEN_ASSET_PRICING,inactive_preserved,none,historical_source,2026-08-03T05:47:25.644301Z,archive,4274ce1b5f2e259006ddaf0e630a4d1c2fabe899
branch,codex/pit-limited-36tests-360jobs,github-user:271768688,source branch,AURORA_RESEARCH,inactive_preserved,none,historical_source,2026-08-03T05:47:25.644301Z,archive,42a6cd389bc9b67a46be2ca38a950bd869f8f401
branch,codex/register-calmar-gt1-pvalue-workflow,github-user:271768688,source branch,AURORA_RESEARCH,inactive_preserved,none,historical_source,2026-08-03T05:47:25.644301Z,archive,557d5cb775b9aaf5162d68c63993636a0c6f2bee
branch,codex/spy-15m-sr-main,github-user:271768688,source branch,AURORA_RESEARCH,inactive_preserved,none,historical_source,2026-08-03T05:47:25.644301Z,archive,70a183629667f5ff56830379f1b82ee994d76252
branch,codex/spy-annual-dominance-360,github-user:271768688,source branch,AURORA_RESEARCH,inactive_preserved,none,historical_source,2026-08-03T05:47:25.644301Z,archive,03326e1e748da70c89a4a74a133d7d66a7547989
branch,codex/stock-protocol-290-event-study,github-user:271768688,source branch,AURORA_RESEARCH,inactive_preserved,none,historical_source,2026-08-03T05:47:25.644301Z,archive,8b312b3310b9e295994d2282d4556524d960d802
branch,codex/stock-protocol-full-universe,github-user:271768688,source branch,AURORA_RESEARCH,inactive_preserved,none,historical_source,2026-08-03T05:47:25.644301Z,archive,c35d78a6ee3e4626dde81f4a6625143043cd8dcf
branch,codex/stock-protocol-opportunity-audit,github-user:271768688,source branch,AURORA_RESEARCH,inactive_preserved,none,historical_source,2026-08-03T05:47:25.644301Z,archive,d40b6a85545cc38ec0062064ee8a6ea0ad0467a5
branch,codex/stock-protocol-scientific-validity,github-user:271768688,source branch,AURORA_RESEARCH,active,codex/stock-protocol-scientific-validity,active_source,2026-08-03T05:47:25.644301Z,keep,c125be464b78c3e109b27e942d4ee75681f93c43
branch,codex/universal-robustness,github-user:271768688,source branch,AURORA_RESEARCH,inactive_preserved,none,historical_source,2026-08-03T05:47:25.644301Z,archive,8f833f303abf7563b61f8452470e36bf2eaf41c6
branch,gtbi-readiness-state/g3a-minimum-governance-close-v1-30630073918,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,07650195a3ef6a89e03642a5ebb7d991476f78a2
branch,gtbi-readiness-state/g3a-minimum-governance-close-v1-30631724300,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,ff6630c0f6b7159963830cac32a277209ded3c60
branch,gtbi-readiness-state/g3b-preservation-owner-v1-30650893319,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,cb9d5704181560fe6d68ea52b9d3040ec6fe9fb3
branch,main,github-user:271768688,source branch,AURORA_RESEARCH,active,main,active_source,2026-08-03T05:47:25.644301Z,keep,92dc42e5a96e4dcff93a6b4dffe900330b5e9acf
workflow,.github/workflows/_aurora-future-run-v3.yml,github-user:271768688,workflow definition,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,320290657
run_family,.github/workflows/_aurora-future-run-v3.yml,github-user:271768688,workflow run family,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,320290657
workflow,.github/workflows/_aurora-merge-level-v3.yml,github-user:271768688,workflow definition,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,320727704
run_family,.github/workflows/_aurora-merge-level-v3.yml,github-user:271768688,workflow run family,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,320727704
workflow,.github/workflows/_aurora-recovery-plan-v3.yml,github-user:271768688,workflow definition,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,320727705
run_family,.github/workflows/_aurora-recovery-plan-v3.yml,github-user:271768688,workflow run family,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,320727705
workflow,.github/workflows/_aurora-retry-shard-v3.yml,github-user:271768688,workflow definition,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,320727707
run_family,.github/workflows/_aurora-retry-shard-v3.yml,github-user:271768688,workflow run family,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,320727707
workflow,.github/workflows/_stock-protocol-original-290-event-study.yml,github-user:271768688,workflow definition,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,317461210
run_family,.github/workflows/_stock-protocol-original-290-event-study.yml,github-user:271768688,workflow run family,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,317461210
workflow,.github/workflows/aurora-maintenance-inventory.yml,github-user:271768688,workflow definition,AURORA_RESEARCH,active,.github/workflows/aurora-maintenance-inventory.yml,operational,2026-08-03T05:47:25.644301Z,keep,325753973
run_family,.github/workflows/aurora-maintenance-inventory.yml,github-user:271768688,workflow run family,AURORA_RESEARCH,active,.github/workflows/aurora-maintenance-inventory.yml,operational,2026-08-03T05:47:25.644301Z,keep,325753973
workflow,.github/workflows/aurora-maintenance-retention.yml,github-user:271768688,workflow definition,AURORA_RESEARCH,active,.github/workflows/aurora-maintenance-retention.yml,operational,2026-08-03T05:47:25.644301Z,keep,324700260
run_family,.github/workflows/aurora-maintenance-retention.yml,github-user:271768688,workflow run family,AURORA_RESEARCH,active,.github/workflows/aurora-maintenance-retention.yml,operational,2026-08-03T05:47:25.644301Z,keep,324700260
workflow,.github/workflows/body-wick-selected-prior-period.yml,github-user:271768688,workflow definition,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,296724240
run_family,.github/workflows/body-wick-selected-prior-period.yml,github-user:271768688,workflow run family,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,296724240
workflow,.github/workflows/body-wick-sr-15m-21symbols-backtest.yml,github-user:271768688,workflow definition,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,295803532
run_family,.github/workflows/body-wick-sr-15m-21symbols-backtest.yml,github-user:271768688,workflow run family,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,295803532
workflow,.github/workflows/body-wick-sr-15m-overnight-age-sweep.yml,github-user:271768688,workflow definition,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,296525584
run_family,.github/workflows/body-wick-sr-15m-overnight-age-sweep.yml,github-user:271768688,workflow run family,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,296525584
workflow,.github/workflows/btc-5m-all-features-5methods-trainonly-1h-180jobs.yml,github-user:271768688,workflow definition,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,286086870
run_family,.github/workflows/btc-5m-all-features-5methods-trainonly-1h-180jobs.yml,github-user:271768688,workflow run family,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,286086870
workflow,.github/workflows/btc-5m-all-features-5methods-trainonly-9h-max500-real180.yml,github-user:271768688,workflow definition,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,286139756
run_family,.github/workflows/btc-5m-all-features-5methods-trainonly-9h-max500-real180.yml,github-user:271768688,workflow run family,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,286139756
workflow,.github/workflows/btc-5m-all-features-5methods-trainonly-9h-wave.yml,github-user:271768688,workflow definition,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,286379387
run_family,.github/workflows/btc-5m-all-features-5methods-trainonly-9h-wave.yml,github-user:271768688,workflow run family,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,286379387
workflow,.github/workflows/btc-5m-pf105-statistical-robustness.yml,github-user:271768688,workflow definition,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,286298143
run_family,.github/workflows/btc-5m-pf105-statistical-robustness.yml,github-user:271768688,workflow run family,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,286298143
workflow,.github/workflows/calmar-gt1-pvalue-bootstrap-173495.yml,github-user:271768688,workflow definition,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,292950796
run_family,.github/workflows/calmar-gt1-pvalue-bootstrap-173495.yml,github-user:271768688,workflow run family,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,292950796
workflow,.github/workflows/concurrency-smoke-500.yml,github-user:271768688,workflow definition,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,288260871
run_family,.github/workflows/concurrency-smoke-500.yml,github-user:271768688,workflow run family,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,288260871
workflow,.github/workflows/docs.yml,github-user:271768688,workflow definition,AURORA_RESEARCH,active,.github/workflows/docs.yml,operational,2026-08-03T05:47:25.644301Z,keep,285545152
run_family,.github/workflows/docs.yml,github-user:271768688,workflow run family,AURORA_RESEARCH,active,.github/workflows/docs.yml,operational,2026-08-03T05:47:25.644301Z,keep,285545152
workflow,.github/workflows/free-15m-equity-universe-download.yml,github-user:271768688,workflow definition,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,295743329
run_family,.github/workflows/free-15m-equity-universe-download.yml,github-user:271768688,workflow run family,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,295743329
workflow,.github/workflows/free-global-yahoo-daily-data-lake.yml,github-user:271768688,workflow definition,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,299820555
run_family,.github/workflows/free-global-yahoo-daily-data-lake.yml,github-user:271768688,workflow run family,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,299820555
workflow,.github/workflows/github-parallel-smoke-500.yml,github-user:271768688,workflow definition,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,286851214
run_family,.github/workflows/github-parallel-smoke-500.yml,github-user:271768688,workflow run family,AURORA_RESEARCH,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,286851214
workflow,.github/workflows/github-performance-benchmark.yml,github-user:271768688,workflow definition,AURORA_PERFORMANCE_FRAMEWORK,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,320290659
run_family,.github/workflows/github-performance-benchmark.yml,github-user:271768688,workflow run family,AURORA_PERFORMANCE_FRAMEWORK,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,320290659
workflow,.github/workflows/github-performance-ci.yml,github-user:271768688,workflow definition,AURORA_PERFORMANCE_FRAMEWORK,active,.github/workflows/github-performance-ci.yml,operational,2026-08-03T05:47:25.644301Z,keep,320205203
run_family,.github/workflows/github-performance-ci.yml,github-user:271768688,workflow run family,AURORA_PERFORMANCE_FRAMEWORK,active,.github/workflows/github-performance-ci.yml,operational,2026-08-03T05:47:25.644301Z,keep,320205203
workflow,.github/workflows/github-performance-merge-only.yml,github-user:271768688,workflow definition,AURORA_PERFORMANCE_FRAMEWORK,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,320727709
run_family,.github/workflows/github-performance-merge-only.yml,github-user:271768688,workflow run family,AURORA_PERFORMANCE_FRAMEWORK,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,320727709
workflow,.github/workflows/github-performance-policy.yml,github-user:271768688,workflow definition,AURORA_PERFORMANCE_FRAMEWORK,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,320254506
run_family,.github/workflows/github-performance-policy.yml,github-user:271768688,workflow run family,AURORA_PERFORMANCE_FRAMEWORK,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,320254506
workflow,.github/workflows/github-performance-reference.yml,github-user:271768688,workflow definition,AURORA_PERFORMANCE_FRAMEWORK,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,320290661
run_family,.github/workflows/github-performance-reference.yml,github-user:271768688,workflow run family,AURORA_PERFORMANCE_FRAMEWORK,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,320290661
workflow,.github/workflows/github-performance-replan.yml,github-user:271768688,workflow definition,AURORA_PERFORMANCE_FRAMEWORK,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,320727710
run_family,.github/workflows/github-performance-replan.yml,github-user:271768688,workflow run family,AURORA_PERFORMANCE_FRAMEWORK,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,320727710
workflow,.github/workflows/github-performance-validation.yml,github-user:271768688,workflow definition,AURORA_PERFORMANCE_FRAMEWORK,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,320727711
run_family,.github/workflows/github-performance-validation.yml,github-user:271768688,workflow run family,AURORA_PERFORMANCE_FRAMEWORK,active,none,historical_reference,2026-08-03T05:47:25.644301Z,archive,320727711
workflow,.github/workflows/global-technical-buy-indicator-355jobs.yml,github-user:271768688,workflow definition,GTBI_HISTORICAL_RESEARCH,active,gtbi_v7_new_reference_v1,historical_reference,2026-08-03T05:47:25.644301Z,archive,300066557
run_family,.github/workflows/global-technical-buy-indicator-355jobs.yml,github-user:271768688,workflow run family,GTBI_HISTORICAL_RESEARCH,active,gtbi_v7_new_reference_v1,historical_reference,2026-08-03T05:47:25.644301Z,archive,300066557
workflow,.github/workflows/global-technical-buy-indicator-external-pack-1800jobs.yml,github-user:271768688,workflow definition,GTBI_HISTORICAL_RESEARCH,active,gtbi_v7_new_reference_v1,historical_reference,2026-08-03T05:47:25.644301Z,archive,302572659
run_family,.github/workflows/global-technical-buy-indicator-external-pack-1800jobs.yml,github-user:271768688,workflow run family,GTBI_HISTORICAL_RESEARCH,active,gtbi_v7_new_reference_v1,historical_reference,2026-08-03T05:47:25.644301Z,archive,302572659
workflow,.github/workflows/global-technical-buy-indicator-external-pack-360jobs.yml,github-user:271768688,workflow definition,GTBI_HISTORICAL_RESEARCH,active,gtbi_v7_new_reference_v1,historical_reference,2026-08-03T05:47:25.644301Z,archive,301040582
run_family,.github/workflows/global-technical-buy-indicator-external-pack-360jobs.yml,github-user:271768688,workflow run family,GTBI_HISTORICAL_RESEARCH,active,gtbi_v7_new_reference_v1,historical_reference,2026-08-03T05:47:25.644301Z,archive,301040582
workflow,.github/workflows/global-technical-buy-indicator-final-recheck-parallel.yml,github-user:271768688,workflow definition,GTBI_HISTORICAL_RESEARCH,active,gtbi_v7_new_reference_v1,historical_reference,2026-08-03T05:47:25.644301Z,archive,300460001
run_family,.github/workflows/global-technical-buy-indicator-final-recheck-parallel.yml,github-user:271768688,workflow run family,GTBI_HISTORICAL_RESEARCH,active,gtbi_v7_new_reference_v1,historical_reference,2026-08-03T05:47:25.644301Z,archive,300460001
workflow,.github/workflows/global-technical-buy-indicator-final-recheck.yml,github-user:271768688,workflow definition,GTBI_HISTORICAL_RESEARCH,active,gtbi_v7_new_reference_v1,historical_reference,2026-08-03T05:47:25.644301Z,archive,300433905
run_family,.github/workflows/global-technical-buy-indicator-final-recheck.yml,github-user:271768688,workflow run family,GTBI_HISTORICAL_RESEARCH,active,gtbi_v7_new_reference_v1,historical_reference,2026-08-03T05:47:25.644301Z,archive,300433905
workflow,.github/workflows/global-technical-buy-indicator-v5-smoke.yml,github-user:271768688,workflow definition,GTBI_HISTORICAL_RESEARCH,active,gtbi_v7_new_reference_v1,historical_reference,2026-08-03T05:47:25.644301Z,archive,303595841
run_family,.github/workflows/global-technical-buy-indicator-v5-smoke.yml,github-user:271768688,workflow run family,GTBI_HISTORICAL_RESEARCH,active,gtbi_v7_new_reference_v1,historical_reference,2026-08-03T05:47:25.644301Z,archive,303595841
workflow,.github/workflows/gtbi-v7-inventory.yml,github-user:271768688,workflow definition,GTBI_HISTORICAL_RESEARCH,active,gtbi_v7_new_reference_v1,historical_reference,2026-08-03T05:47:25.644301Z,archive,323546210
run_family,.github/workflows/gtbi-v7-inventory.yml,github-user:271768688,workflow run family,GTBI_HISTORICAL_RESEARCH,active,gtbi_v7_new_reference_v1,historical_reference,2026-08-03T05:47:25.644301Z,archive,323546210
workflow,.github/workflows/gtbi-v7-master-plan-quality.yml,github-user:271768688,workflow definition,GTBI_HISTORICAL_RESEARCH,active,gtbi_v7_new_reference_v1,historical_reference,2026-08-03T05:47:25.644301Z,archive,323189363
run_family,.github/workflows/gtbi-v7-master-plan-quality.yml,github-user:271768688,workflow run family,GTBI_HISTORICAL_RESEARCH,active,gtbi_v7_new_reference_v1,historical_reference,2026-08-03T05:47:25.644301Z,archive,323189363
workflow,.github/workflows/gtbi-v7-new-reference-merge-recovery.yml,github-user:271768688,workflow definition,GTBI_V7_CANONICAL_SUCCESSOR_1,active,.github/workflows/gtbi-v7-new-reference-merge-recovery.yml,canonical_scientific,2026-08-03T05:47:25.644301Z,keep,325665259
run_family,.github/workflows/gtbi-v7-new-reference-merge-recovery.yml,github-user:271768688,workflow run family,GTBI_V7_CANONICAL_SUCCESSOR_1,active,.github/workflows/gtbi-v7-new-reference-merge-recovery.yml,canonical_scientific,2026-08-03T05:47:25.644301Z,keep,325665259
workflow,.github/workflows/gtbi-v7-new-reference-worker.yml,github-user:271768688,workflow definition,GTBI_V7_CANONICAL_SUCCESSOR_1,active,.github/workflows/gtbi-v7-new-reference-worker.yml,canonical_scientific,2026-08-03T05:47:25.644301Z,keep,325119525
run_family,.github/workflows/gtbi-v7-new-reference-worker.yml,github-user:271768688,workflow run family,GTBI_V7_CANONICAL_SUCCESSOR_1,active,.github/workflows/gtbi-v7-new-reference-worker.yml,canonical_scientific,2026-08-03T05:47:25.644301Z,keep,325119525
