artifact_family,artifact_count,total_size_in_bytes,first_created_at,last_created_at,examples_json,decision,retention_class,canonical_replacement
btc-{n}m-pf{n}-statistical-robustness-results,2,5731805,2026-05-31T08:09:13Z,2026-05-31T10:42:04Z,"[""btc-5m-pf105-statistical-robustness-results"",""btc-5m-pf105-statistical-robustness-results""]",archive,historical_reference,none
btc-{n}m-trainonly-bandit-stage-{n},24,2707446,2026-05-30T18:02:28Z,2026-05-30T18:39:25Z,"[""btc-5m-trainonly-bandit-stage-2"",""btc-5m-trainonly-bandit-stage-4"",""btc-5m-trainonly-bandit-stage-6""]",archive,historical_reference,none
btc-{n}m-trainonly-beam-stage-{n},36,795302,2026-05-30T18:04:22Z,2026-05-30T18:33:54Z,"[""btc-5m-trainonly-beam-stage-31"",""btc-5m-trainonly-beam-stage-32"",""btc-5m-trainonly-beam-stage-27""]",archive,historical_reference,none
btc-{n}m-trainonly-dehb_real-stage-{n},36,3833101,2026-05-30T17:39:13Z,2026-05-30T17:55:07Z,"[""btc-5m-trainonly-dehb_real-stage-7"",""btc-5m-trainonly-dehb_real-stage-24"",""btc-5m-trainonly-dehb_real-stage-0""]",archive,historical_reference,none
btc-{n}m-trainonly-genetic-stage-{n},36,4919139,2026-05-30T17:47:32Z,2026-05-30T18:29:37Z,"[""btc-5m-trainonly-genetic-stage-10"",""btc-5m-trainonly-genetic-stage-17"",""btc-5m-trainonly-genetic-stage-12""]",archive,historical_reference,none
btc-{n}m-trainonly-{n}h-wave-{n}-bandit-stage-{n},396,44750284,2026-05-30T19:47:36Z,2026-05-31T04:24:25Z,"[""btc-5m-trainonly-9h-wave-0-bandit-stage-10"",""btc-5m-trainonly-9h-wave-0-bandit-stage-24"",""btc-5m-trainonly-9h-wave-0-bandit-stage-31""]",archive,historical_reference,none
btc-{n}m-trainonly-{n}h-wave-{n}-beam-stage-{n},396,8819455,2026-05-30T19:47:41Z,2026-05-31T04:30:45Z,"[""btc-5m-trainonly-9h-wave-0-beam-stage-35"",""btc-5m-trainonly-9h-wave-0-beam-stage-34"",""btc-5m-trainonly-9h-wave-0-beam-stage-27""]",archive,historical_reference,none
btc-{n}m-trainonly-{n}h-wave-{n}-dehb_real-stage-{n},396,42166561,2026-05-30T19:46:17Z,2026-05-31T04:24:33Z,"[""btc-5m-trainonly-9h-wave-0-dehb_real-stage-3"",""btc-5m-trainonly-9h-wave-0-dehb_real-stage-22"",""btc-5m-trainonly-9h-wave-0-dehb_real-stage-24""]",archive,historical_reference,none
btc-{n}m-trainonly-{n}h-wave-{n}-genetic-stage-{n},396,54148419,2026-05-30T19:46:26Z,2026-05-31T04:24:32Z,"[""btc-5m-trainonly-9h-wave-0-genetic-stage-24"",""btc-5m-trainonly-9h-wave-0-genetic-stage-30"",""btc-5m-trainonly-9h-wave-0-genetic-stage-29""]",archive,historical_reference,none
btc-{n}m-trainonly-{n}h-wave-{n}-github_ml-stage-{n},396,41136047,2026-05-30T20:31:35Z,2026-05-31T05:07:54Z,"[""btc-5m-trainonly-9h-wave-0-github_ml-stage-7"",""btc-5m-trainonly-9h-wave-0-github_ml-stage-35"",""btc-5m-trainonly-9h-wave-0-github_ml-stage-32""]",archive,historical_reference,none
calmar-gt{n}-pvalue-bootstrap-chunk-{n},390,9125324,2026-06-10T13:48:04Z,2026-06-10T21:05:07Z,"[""calmar-gt1-pvalue-bootstrap-chunk-102"",""calmar-gt1-pvalue-bootstrap-chunk-304"",""calmar-gt1-pvalue-bootstrap-chunk-245""]",archive,historical_reference,none
calmar-gt{n}-pvalue-bootstrap-manifest,2,26613798,2026-06-10T12:40:24Z,2026-06-10T17:01:17Z,"[""calmar-gt1-pvalue-bootstrap-manifest"",""calmar-gt1-pvalue-bootstrap-manifest""]",archive,historical_reference,none
calmar-gt{n}-pvalue-bootstrap-shared-data,2,46777626,2026-06-10T12:45:57Z,2026-06-10T17:05:31Z,"[""calmar-gt1-pvalue-bootstrap-shared-data"",""calmar-gt1-pvalue-bootstrap-shared-data""]",archive,historical_reference,none
free-global-yahoo-daily-data-lake,5,13798031223,2026-06-21T19:51:53Z,2026-06-22T07:49:26Z,"[""free-global-yahoo-daily-data-lake"",""free-global-yahoo-daily-data-lake"",""free-global-yahoo-daily-data-lake""]",archive,historical_reference,none
free-global-yahoo-daily-data-lake-audit,4,2212897,2026-06-22T06:04:45Z,2026-06-22T07:58:02Z,"[""free-global-yahoo-daily-data-lake-audit"",""free-global-yahoo-daily-data-lake-audit"",""free-global-yahoo-daily-data-lake-audit""]",archive,historical_reference,none
free-global-yahoo-price-shard-{n},192,21644536963,2026-06-21T19:46:22Z,2026-07-12T13:17:43Z,"[""free-global-yahoo-price-shard-16"",""free-global-yahoo-price-shard-28"",""free-global-yahoo-price-shard-4""]",archive,historical_reference,none
free-global-yahoo-universe,6,14790202,2026-06-21T19:42:57Z,2026-07-12T13:11:18Z,"[""free-global-yahoo-universe"",""free-global-yahoo-universe"",""free-global-yahoo-universe""]",archive,historical_reference,none
free-{n}m-equity-universe-yfinance-data,1,1981045,2026-06-14T11:57:25Z,2026-06-14T11:57:25Z,"[""free-15m-equity-universe-yfinance-data""]",archive,historical_reference,none
github-performance-benchmark-baseline-contract-{n}-{n},3,19792,2026-07-25T14:24:30Z,2026-07-25T18:50:51Z,"[""github-performance-benchmark-baseline-contract-30161142684-1"",""github-performance-benchmark-baseline-contract-30162193823-1"",""github-performance-benchmark-baseline-contract-30170101585-1""]",archive,historical_reference,none
github-performance-benchmark-baseline-environment-{n}-{n},3,3915,2026-07-25T14:23:38Z,2026-07-25T18:49:48Z,"[""github-performance-benchmark-baseline-environment-30161142684-1"",""github-performance-benchmark-baseline-environment-30162193823-1"",""github-performance-benchmark-baseline-environment-30170101585-1""]",archive,historical_reference,none
github-performance-benchmark-baseline-final-stage-{n}-{n},3,2808617,2026-07-25T14:30:28Z,2026-07-25T18:55:05Z,"[""github-performance-benchmark-baseline-final-stage-30161142684-1"",""github-performance-benchmark-baseline-final-stage-30162193823-1"",""github-performance-benchmark-baseline-final-stage-30170101585-1""]",archive,historical_reference,none
github-performance-benchmark-baseline-partial-g{n},3,1544191,2026-07-25T14:29:30Z,2026-07-25T18:54:27Z,"[""github-performance-benchmark-baseline-partial-g000"",""github-performance-benchmark-baseline-partial-g000"",""github-performance-benchmark-baseline-partial-g000""]",archive,historical_reference,none
github-performance-benchmark-baseline-pilot-{n}-{n},3,994,2026-07-25T14:25:55Z,2026-07-25T18:52:05Z,"[""github-performance-benchmark-baseline-pilot-30161142684-1"",""github-performance-benchmark-baseline-pilot-30162193823-1"",""github-performance-benchmark-baseline-pilot-30170101585-1""]",archive,historical_reference,none
github-performance-benchmark-baseline-plan-{n}-{n},3,1193205,2026-07-25T14:26:45Z,2026-07-25T18:52:43Z,"[""github-performance-benchmark-baseline-plan-30161142684-1"",""github-performance-benchmark-baseline-plan-30162193823-1"",""github-performance-benchmark-baseline-plan-30170101585-1""]",archive,historical_reference,none
github-performance-benchmark-baseline-preflight-{n}-{n},3,798,2026-07-25T14:22:55Z,2026-07-25T18:49:47Z,"[""github-performance-benchmark-baseline-preflight-30161142684-1"",""github-performance-benchmark-baseline-preflight-30162193823-1"",""github-performance-benchmark-baseline-preflight-30170101585-1""]",archive,historical_reference,none
github-performance-benchmark-baseline-prepared-{n}-{n},1,113860,2026-07-25T14:23:43Z,2026-07-25T14:23:43Z,"[""github-performance-benchmark-baseline-prepared-30161142684-1""]",archive,historical_reference,none
github-performance-benchmark-baseline-recovery-{n}-{n},3,8655,2026-07-25T14:28:37Z,2026-07-25T18:53:55Z,"[""github-performance-benchmark-baseline-recovery-30161142684-1"",""github-performance-benchmark-baseline-recovery-30162193823-1"",""github-performance-benchmark-baseline-recovery-30170101585-1""]",archive,historical_reference,none
github-performance-benchmark-baseline-results,3,2872768,2026-07-25T14:32:16Z,2026-07-25T18:56:21Z,"[""github-performance-benchmark-baseline-results"",""github-performance-benchmark-baseline-results"",""github-performance-benchmark-baseline-results""]",archive,historical_reference,none
github-performance-benchmark-baseline-shard-g{n}-s{n}-a-{uuid},3,2094884,2026-07-25T14:27:44Z,2026-07-25T18:53:25Z,"[""github-performance-benchmark-baseline-shard-g000-s000-a-f75a5c28-dedf-4fd1-8ad6-1e605644902a"",""github-performance-benchmark-baseline-shard-g000-s000-a-b9f068ae-0ba5-4c46-84b9-845f665f7785"",""github-performance-benchmark-baseline-shard-g000-s000-a-0a5024c6-8835-46c7-a74a-58c7826b957d""]",archive,historical_reference,none
github-performance-benchmark-baseline-smoke-{n}-{n},3,780,2026-07-25T14:25:08Z,2026-07-25T18:51:29Z,"[""github-performance-benchmark-baseline-smoke-30161142684-1"",""github-performance-benchmark-baseline-smoke-30162193823-1"",""github-performance-benchmark-baseline-smoke-30170101585-1""]",archive,historical_reference,none
github-performance-benchmark-baseline-timeline-{n}-{n},3,42235,2026-07-25T14:32:07Z,2026-07-25T18:56:12Z,"[""github-performance-benchmark-baseline-timeline-30161142684-1"",""github-performance-benchmark-baseline-timeline-30162193823-1"",""github-performance-benchmark-baseline-timeline-30170101585-1""]",archive,historical_reference,none
github-performance-benchmark-baseline-verified-stage-{n}-{n},3,2830599,2026-07-25T14:31:21Z,2026-07-25T18:55:43Z,"[""github-performance-benchmark-baseline-verified-stage-30161142684-1"",""github-performance-benchmark-baseline-verified-stage-30162193823-1"",""github-performance-benchmark-baseline-verified-stage-30170101585-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-baseline-campaign-state-after-recovery-{n}-{n}-{n},7,64207,2026-07-26T13:00:13Z,2026-07-26T16:16:42Z,"[""github-performance-benchmark-candidate_sweep-baseline-campaign-state-after-recovery-0-30202683511-1"",""github-performance-benchmark-candidate_sweep-baseline-campaign-state-after-recovery-0-30204585347-1"",""github-performance-benchmark-candidate_sweep-baseline-campaign-state-after-recovery-0-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-baseline-campaign-state-initial-{n}-{n},7,18648,2026-07-26T12:59:38Z,2026-07-26T16:15:39Z,"[""github-performance-benchmark-candidate_sweep-baseline-campaign-state-initial-30202683511-1"",""github-performance-benchmark-candidate_sweep-baseline-campaign-state-initial-30204585347-1"",""github-performance-benchmark-candidate_sweep-baseline-campaign-state-initial-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-baseline-campaign-state-merged-{n}-{n},7,73034,2026-07-26T13:01:31Z,2026-07-26T16:18:07Z,"[""github-performance-benchmark-candidate_sweep-baseline-campaign-state-merged-30202683511-1"",""github-performance-benchmark-candidate_sweep-baseline-campaign-state-merged-30204585347-1"",""github-performance-benchmark-candidate_sweep-baseline-campaign-state-merged-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-baseline-campaign-state-verified-{n}-{n},7,90716,2026-07-26T13:03:34Z,2026-07-26T16:19:44Z,"[""github-performance-benchmark-candidate_sweep-baseline-campaign-state-verified-30202683511-1"",""github-performance-benchmark-candidate_sweep-baseline-campaign-state-verified-30204585347-1"",""github-performance-benchmark-candidate_sweep-baseline-campaign-state-verified-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-baseline-contract-{n}-{n},7,47549,2026-07-26T12:57:07Z,2026-07-26T16:12:53Z,"[""github-performance-benchmark-candidate_sweep-baseline-contract-30202683511-1"",""github-performance-benchmark-candidate_sweep-baseline-contract-30204585347-1"",""github-performance-benchmark-candidate_sweep-baseline-contract-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-baseline-environment-{n}-{n},7,8973,2026-07-26T12:56:08Z,2026-07-26T16:11:55Z,"[""github-performance-benchmark-candidate_sweep-baseline-environment-30202683511-1"",""github-performance-benchmark-candidate_sweep-baseline-environment-30204585347-1"",""github-performance-benchmark-candidate_sweep-baseline-environment-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-baseline-pilot-{n}-{n},7,4581,2026-07-26T12:58:17Z,2026-07-26T16:14:22Z,"[""github-performance-benchmark-candidate_sweep-baseline-pilot-30202683511-1"",""github-performance-benchmark-candidate_sweep-baseline-pilot-30204585347-1"",""github-performance-benchmark-candidate_sweep-baseline-pilot-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-baseline-plan-{n}-{n},7,3562623,2026-07-26T12:58:46Z,2026-07-26T16:15:09Z,"[""github-performance-benchmark-candidate_sweep-baseline-plan-30202683511-1"",""github-performance-benchmark-candidate_sweep-baseline-plan-30204585347-1"",""github-performance-benchmark-candidate_sweep-baseline-plan-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-baseline-preflight-{n}-{n},7,1862,2026-07-26T12:56:07Z,2026-07-26T16:11:54Z,"[""github-performance-benchmark-candidate_sweep-baseline-preflight-30202683511-1"",""github-performance-benchmark-candidate_sweep-baseline-preflight-30204585347-1"",""github-performance-benchmark-candidate_sweep-baseline-preflight-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-baseline-recovery-wave-{n}-{n}-{n},7,84601,2026-07-26T13:00:13Z,2026-07-26T16:16:41Z,"[""github-performance-benchmark-candidate_sweep-baseline-recovery-wave-0-30202683511-1"",""github-performance-benchmark-candidate_sweep-baseline-recovery-wave-0-30204585347-1"",""github-performance-benchmark-candidate_sweep-baseline-recovery-wave-0-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-baseline-results,7,7102892,2026-07-26T13:03:41Z,2026-07-26T16:19:53Z,"[""github-performance-benchmark-candidate_sweep-baseline-results"",""github-performance-benchmark-candidate_sweep-baseline-results"",""github-performance-benchmark-candidate_sweep-baseline-results""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-baseline-sealed-final-stage-{n}-{n},7,7016286,2026-07-26T13:02:56Z,2026-07-26T16:19:07Z,"[""github-performance-benchmark-candidate_sweep-baseline-sealed-final-stage-30202683511-1"",""github-performance-benchmark-candidate_sweep-baseline-sealed-final-stage-30204585347-1"",""github-performance-benchmark-candidate_sweep-baseline-sealed-final-stage-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-baseline-shard-g{n}-s{n}-a-{uuid},321,28504621,2026-07-26T12:59:28Z,2026-07-26T16:15:57Z,"[""github-performance-benchmark-candidate_sweep-baseline-shard-g000-s003-a-312c7799-151d-415f-82d9-a5edc18e7666"",""github-performance-benchmark-candidate_sweep-baseline-shard-g000-s000-a-8c1ead7c-286f-42b7-b886-9f89a5b552f7"",""github-performance-benchmark-candidate_sweep-baseline-shard-g000-s002-a-9a8ef06b-7fc7-4193-aecc-57e05ab41057""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-baseline-smoke-{n}-{n},7,1827,2026-07-26T12:57:45Z,2026-07-26T16:13:39Z,"[""github-performance-benchmark-candidate_sweep-baseline-smoke-30202683511-1"",""github-performance-benchmark-candidate_sweep-baseline-smoke-30204585347-1"",""github-performance-benchmark-candidate_sweep-baseline-smoke-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-baseline-timeline-{n}-{n},7,138880,2026-07-26T13:02:06Z,2026-07-26T16:18:38Z,"[""github-performance-benchmark-candidate_sweep-baseline-timeline-30202683511-1"",""github-performance-benchmark-candidate_sweep-baseline-timeline-30204585347-1"",""github-performance-benchmark-candidate_sweep-baseline-timeline-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-baseline-unsealed-final-stage-{n}-{n},7,6757326,2026-07-26T13:01:32Z,2026-07-26T16:18:08Z,"[""github-performance-benchmark-candidate_sweep-baseline-unsealed-final-stage-30202683511-1"",""github-performance-benchmark-candidate_sweep-baseline-unsealed-final-stage-30204585347-1"",""github-performance-benchmark-candidate_sweep-baseline-unsealed-final-stage-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-baseline-verified-stage-{n}-{n},7,7102892,2026-07-26T13:03:35Z,2026-07-26T16:19:44Z,"[""github-performance-benchmark-candidate_sweep-baseline-verified-stage-30202683511-1"",""github-performance-benchmark-candidate_sweep-baseline-verified-stage-30204585347-1"",""github-performance-benchmark-candidate_sweep-baseline-verified-stage-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-optimized-campaign-state-after-recovery-{n}-{n}-{n},19,164899,2026-07-26T12:51:44Z,2026-07-26T16:07:07Z,"[""github-performance-benchmark-candidate_sweep-optimized-campaign-state-after-recovery-0-30202683511-1"",""github-performance-benchmark-candidate_sweep-optimized-campaign-state-after-recovery-0-30204585347-1"",""github-performance-benchmark-candidate_sweep-optimized-campaign-state-after-recovery-0-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-optimized-campaign-state-initial-{n}-{n},9,23976,2026-07-26T12:50:59Z,2026-07-26T16:06:36Z,"[""github-performance-benchmark-candidate_sweep-optimized-campaign-state-initial-30202683511-1"",""github-performance-benchmark-candidate_sweep-optimized-campaign-state-initial-30204585347-1"",""github-performance-benchmark-candidate_sweep-optimized-campaign-state-initial-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-optimized-campaign-state-merged-{n}-{n},7,75110,2026-07-26T12:52:58Z,2026-07-26T16:08:36Z,"[""github-performance-benchmark-candidate_sweep-optimized-campaign-state-merged-30202683511-1"",""github-performance-benchmark-candidate_sweep-optimized-campaign-state-merged-30204585347-1"",""github-performance-benchmark-candidate_sweep-optimized-campaign-state-merged-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-optimized-campaign-state-verified-{n}-{n},7,92792,2026-07-26T12:55:02Z,2026-07-26T16:10:40Z,"[""github-performance-benchmark-candidate_sweep-optimized-campaign-state-verified-30202683511-1"",""github-performance-benchmark-candidate_sweep-optimized-campaign-state-verified-30204585347-1"",""github-performance-benchmark-candidate_sweep-optimized-campaign-state-verified-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-optimized-contract-{n}-{n},9,61143,2026-07-26T12:48:08Z,2026-07-26T16:03:48Z,"[""github-performance-benchmark-candidate_sweep-optimized-contract-30202683511-1"",""github-performance-benchmark-candidate_sweep-optimized-contract-30204585347-1"",""github-performance-benchmark-candidate_sweep-optimized-contract-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-optimized-environment-{n}-{n},9,11541,2026-07-26T12:47:09Z,2026-07-26T16:02:31Z,"[""github-performance-benchmark-candidate_sweep-optimized-environment-30202683511-1"",""github-performance-benchmark-candidate_sweep-optimized-environment-30204585347-1"",""github-performance-benchmark-candidate_sweep-optimized-environment-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-optimized-pilot-{n}-{n},9,6140,2026-07-26T12:49:41Z,2026-07-26T16:05:09Z,"[""github-performance-benchmark-candidate_sweep-optimized-pilot-30202683511-1"",""github-performance-benchmark-candidate_sweep-optimized-pilot-30204585347-1"",""github-performance-benchmark-candidate_sweep-optimized-pilot-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-optimized-plan-{n}-{n},9,4332949,2026-07-26T12:50:21Z,2026-07-26T16:05:48Z,"[""github-performance-benchmark-candidate_sweep-optimized-plan-30202683511-1"",""github-performance-benchmark-candidate_sweep-optimized-plan-30204585347-1"",""github-performance-benchmark-candidate_sweep-optimized-plan-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-optimized-preflight-{n}-{n},9,2394,2026-07-26T12:47:08Z,2026-07-26T16:02:30Z,"[""github-performance-benchmark-candidate_sweep-optimized-preflight-30202683511-1"",""github-performance-benchmark-candidate_sweep-optimized-preflight-30204585347-1"",""github-performance-benchmark-candidate_sweep-optimized-preflight-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-optimized-recovery-wave-{n}-{n}-{n},19,156478,2026-07-26T12:51:43Z,2026-07-26T16:07:07Z,"[""github-performance-benchmark-candidate_sweep-optimized-recovery-wave-0-30202683511-1"",""github-performance-benchmark-candidate_sweep-optimized-recovery-wave-0-30204585347-1"",""github-performance-benchmark-candidate_sweep-optimized-recovery-wave-0-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-optimized-results,7,7122502,2026-07-26T12:55:15Z,2026-07-26T16:10:50Z,"[""github-performance-benchmark-candidate_sweep-optimized-results"",""github-performance-benchmark-candidate_sweep-optimized-results"",""github-performance-benchmark-candidate_sweep-optimized-results""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-optimized-sealed-final-stage-{n}-{n},7,7035896,2026-07-26T12:54:15Z,2026-07-26T16:10:04Z,"[""github-performance-benchmark-candidate_sweep-optimized-sealed-final-stage-30202683511-1"",""github-performance-benchmark-candidate_sweep-optimized-sealed-final-stage-30204585347-1"",""github-performance-benchmark-candidate_sweep-optimized-sealed-final-stage-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-optimized-shard-g{n}-s{n}-a-{uuid},344,33714050,2026-07-26T12:50:52Z,2026-07-26T16:06:30Z,"[""github-performance-benchmark-candidate_sweep-optimized-shard-g000-s001-a-6d94870e-747c-4209-b55e-acaecc98cec0"",""github-performance-benchmark-candidate_sweep-optimized-shard-g000-s000-a-cd986ae0-19ed-49c3-a3d3-af8072ad8b35"",""github-performance-benchmark-candidate_sweep-optimized-shard-g000-s003-a-86b157bd-690f-42c8-ae95-d0ca53b5595c""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-optimized-smoke-{n}-{n},9,2349,2026-07-26T12:49:00Z,2026-07-26T16:04:26Z,"[""github-performance-benchmark-candidate_sweep-optimized-smoke-30202683511-1"",""github-performance-benchmark-candidate_sweep-optimized-smoke-30204585347-1"",""github-performance-benchmark-candidate_sweep-optimized-smoke-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-optimized-timeline-{n}-{n},7,142665,2026-07-26T12:53:29Z,2026-07-26T16:09:22Z,"[""github-performance-benchmark-candidate_sweep-optimized-timeline-30202683511-1"",""github-performance-benchmark-candidate_sweep-optimized-timeline-30204585347-1"",""github-performance-benchmark-candidate_sweep-optimized-timeline-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-optimized-unsealed-final-stage-{n}-{n},7,6773329,2026-07-26T12:52:59Z,2026-07-26T16:08:36Z,"[""github-performance-benchmark-candidate_sweep-optimized-unsealed-final-stage-30202683511-1"",""github-performance-benchmark-candidate_sweep-optimized-unsealed-final-stage-30204585347-1"",""github-performance-benchmark-candidate_sweep-optimized-unsealed-final-stage-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-optimized-verified-stage-{n}-{n},7,7122502,2026-07-26T12:55:03Z,2026-07-26T16:10:40Z,"[""github-performance-benchmark-candidate_sweep-optimized-verified-stage-30202683511-1"",""github-performance-benchmark-candidate_sweep-optimized-verified-stage-30204585347-1"",""github-performance-benchmark-candidate_sweep-optimized-verified-stage-30206673388-1""]",archive,historical_reference,none
github-performance-benchmark-candidate_sweep-results,7,7251353,2026-07-26T13:04:33Z,2026-07-26T16:20:32Z,"[""github-performance-benchmark-candidate_sweep-results"",""github-performance-benchmark-candidate_sweep-results"",""github-performance-benchmark-candidate_sweep-results""]",archive,historical_reference,none
