branch_id,task_id,predicate_schema_digest,predicate_evidence_digest,selected_successor,unselected_alternative_completion,invalidated_evidence_classes,affected_gates,decision_actor_id,decision_receipt_digest
FULL_DISPOSITION,PREV7-0809,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0910,[],"[""G8"",""G9X""]",,
FULL_DISPOSITION,PREV7-0810,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0910,[],"[""G8"",""G9X""]",,
FULL_DISPOSITION,PREV7-0811,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0910,[],"[""G8"",""G9X""]",,
FULL_DISPOSITION,PREV7-0812,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0910,[],"[""G8"",""G9X""]",,
FULL_DISPOSITION,PREV7-0813,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0910,[],"[""G8"",""G9X""]",,
FULL_DISPOSITION,PREV7-0815,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0910,[],"[""G8"",""G9X""]",,
FULL_DISPOSITION,PREV7-0816,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0910,[],"[""G8"",""G9X""]",,
FULL_DISPOSITION,PREV7-0901,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0914,[],"[""G9"",""G9X""]",,
FULL_DISPOSITION,PREV7-0902,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0914,[],"[""G9"",""G9X""]",,
FULL_DISPOSITION,PREV7-0903,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0912,[],"[""G9"",""G9X""]",,
FULL_DISPOSITION,PREV7-0904,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0914,[],"[""G9"",""G9X""]",,
FULL_DISPOSITION,PREV7-0905,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0910,[],"[""G9"",""G9X""]",,
FULL_DISPOSITION,PREV7-0906,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0911,[],"[""G9"",""G9X""]",,
FULL_DISPOSITION,PREV7-0907,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0912,[],"[""G9"",""G9X""]",,
FULL_DISPOSITION,PREV7-0910,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0905,[],"[""G9X"",""G9""]",,
FULL_DISPOSITION,PREV7-0911,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0906,[],"[""G9X"",""G9""]",,
FULL_DISPOSITION,PREV7-0912,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0907,[],"[""G9X"",""G9""]",,
FULL_DISPOSITION,PREV7-0914,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0904,[],"[""G9X"",""G9""]",,
G0_BOOTSTRAP_DISPOSITION,PREV7-0011,sha256:e919191d80b9b81965fdf3e693dbdbe55426a7c189c16b75314d10c628ad5b63,,,decision_not_yet_selected,[],"[""G0""]",,
G7_DISPOSITION,PREV7-0715,sha256:5684759a947183dba8d7d5daebd3dd23847d4e63739b465e1cfd258429aff368,,,decision_not_yet_selected,[],"[""G7""]",,
LOCAL_ADMINISTRATION,PREV7-0402,sha256:20ac13a2ca67667112b897e071963bdc43b37529d39ce6643c362de0d51ead20,,,decision_not_yet_selected,[],"[""G4""]",,
LOCAL_ADMINISTRATION,PREV7-0403,sha256:20ac13a2ca67667112b897e071963bdc43b37529d39ce6643c362de0d51ead20,,,decision_not_yet_selected,[],"[""G4""]",,
LOCAL_ADMINISTRATION,PREV7-0404,sha256:20ac13a2ca67667112b897e071963bdc43b37529d39ce6643c362de0d51ead20,,,decision_not_yet_selected,[],"[""G4""]",,
LOCAL_ADMINISTRATION,PREV7-0405,sha256:20ac13a2ca67667112b897e071963bdc43b37529d39ce6643c362de0d51ead20,,,decision_not_yet_selected,[],"[""G4""]",,
LOCAL_ADMINISTRATION,PREV7-0406,sha256:20ac13a2ca67667112b897e071963bdc43b37529d39ce6643c362de0d51ead20,,,decision_not_yet_selected,[],"[""G10""]",,
LOCAL_ADMINISTRATION,PREV7-0407,sha256:20ac13a2ca67667112b897e071963bdc43b37529d39ce6643c362de0d51ead20,,,decision_not_yet_selected,[],"[""G10""]",,
PR20_DISPOSITION,PREV7-0502,sha256:e8e66117a164ec26776f4f05059f1bca00f1f43804a7b6949bed03fbe904d60b,,,decision_not_yet_selected,[],"[""G5""]",,
V6_FINAL_SOURCE,PREV7-0003,sha256:36f5c79379f5f111ef074ec147b25e7cf4c3d7273d7ab0e2a041eac326dfcc4a,,,decision_not_yet_selected,[],"[""G0""]",,
V6_INPUT_IDENTITY,PREV7-0307,sha256:ebcd5587c5b6ab0d835ce58488f5c26cdbf7e3d55a13e563f4a043f390b96b37,,,decision_not_yet_selected,[],"[""G2""]",,
